name,price,composition,category,gender,description,img_url,url,scrapped-at
CALÇA FEMININA RETA DESTROYER,235.90,100% algodão,CALÇA,FEMININO,Calça feminina Modelagem reta Lavação destroyer Barra desmanchada Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_reta_destroyer_96060738_1_28e47bcb472f9d1f5f2fadd60daa649b.jpg,https://www.daksuljeans.com.br/feminino/calca/reta/calca-feminina-reta-destroyer,11-04-2022
CALÇA FEMININA SKINNY ALTA TECNOLOGIA COR PRETO QUE NÃO DESBOTA,213.90,"15% poliester 2,5% elastano 82,5% algodão",CALÇA,FEMININO,Calça feminina Modelagem Skinny alta Cor preto que não desbota Peça tradicional e fundamental para diversos looks Fechamento com zíper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_tecnologia_cor_preto_que_nao_desbota_96060365_1_416717859b43c2989617596e37253076.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-tecnologia-cor-preto-que-nao-desbota,11-04-2022
CALÇA FEMININA MOM COM DETALHES EM CRAQUELADO PLUS SIZE,281.90,"1,3% elastano 98,7% algodão",CALÇA,FEMININO,"Calça feminina Modelagem mom Detalhes em craquelado Elástico no cós na parte traseira para maior ajuste da peça Modelo veste 46  98,7% algodão 1,3% elastano",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_mom_com_detalhes_em_craquelado_plus_size_96060521_1_4360e82d4b8bc87984b19d787163075a.jpg,https://www.daksuljeans.com.br/cf22109g-calca-feminina-mom,11-04-2022
CALÇA FEMININA SKINNY ALTA SECA BARRIGA PLUS SIZE,263.90,2% elastano 8% poliester 89% algodão,CALÇA,FEMININO,"Calça feminina Modelagem Skinny alta Tecnologia seca barriga Detalhe no cós, com fechamento mais para a lateral Fechamento com zíper e botão Modelo veste 46",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_seca_barriga_plus_size_96061056_1_525c0a0c9460b936e9908b237f74e595.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-alta-seca-barriga-plus-size,11-04-2022
CALÇA FEMININA SKINNY ALTA SECA BARRIGA,252.90,2% elastano 8% poliester 89% algodão,CALÇA,FEMININO,"Calça feminina Modelagem Skinny alta Tecnologia seca barriga Detalhe no cós, com fechamento mais para a lateral Fechamento com zíper e botão Modelo veste 36",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_seca_barriga_96061051_1_20a848b2db261051b50edee4c8cc8ea0.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-seca-barriga,11-04-2022
CALÇA FEMININA SKINNY ALTA RECORTE BOLSO TRASEIRO,241.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Recortes no bolso traseiro Detalhes em detonados Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_recorte_bolso_traseiro_96060942_1_3971d16b9f4f2374cdce13f85099a2bd.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-recorte-bolso-traseiro,11-04-2022
CALÇA FEMININA SKINNY ALTA ELÁSTICO NO CÓS PLUS SIZE,241.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Lavação lixada Elástico no cós na parte traseira Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_elastico_no_cos_plus_size_96060298_1_9de716a550f1fbe556943c6ceb600a1e.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-alta-elastico-no-cos-plus-size,11-04-2022
CALÇA FEMININA SKINNY ALTA ELÁSTICO NO CÓS,230.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Lavação lixada Elástico no cós na parte traseira Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_elastico_no_cos_96060293_3_1c9d21ed2564ac4a87b6ec73e34068f6.jpg,https://www.daksuljeans.com.br/feminino/calca-skinny/calca-feminina-skinny-alta-elastico-no-cos,11-04-2022
CALÇA FEMININA SKINNY ALTA COM PUÍDOS,217.90,4% elastano 96% algodão,CALÇA,FEMININO,Calça skinny  Cintura Alta  Puídos  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_com_puidos_96060339_1_500baf9c9470e84be7f933454fee92fd.jpg,https://www.daksuljeans.com.br/feminino/calca/cigarrete/calca-feminina-skinny-alta-com-puidos,11-04-2022
CALÇA FEMININA SKINNY ALTA COM PENSE FRONTAL,235.90,97% algodão,CALÇA,FEMININO,Calça feminina skinny Modelagem skinny Diferencial com prense frontal Bolso faca Botão recapado do próprio jeans Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_com_pense_frontal_96060334_1_06897ed62ab5f479e5c8171ca0d34217.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-com-pense-frontal,11-04-2022
