name,price,category,composition,color,gender,description,img_url,url,scrapped-at
Calça Jeans Levis Mario 501 Slim Taper,"R$ 237,93",Calça,100% Algodão,Preto,Masculino,Código: 288940206,https://lojalevis.vteximg.com.br/arquivos/ids/369067-640-640/2889402060206_1.jpg?v=637231971923470000,https://www.levi.com.br/calca-jeans-levis-mario-501-slim-taper-2889402060206/p,12-04-2022
Cinto Levi's Pressed Masculino Marrom,"R$ 99,90",Cinto,100% poliuretano + fivela de metal,Marrom,Masculino,Código:771341761,https://lojalevis.vteximg.com.br/arquivos/ids/369488-640-640/771341761_1.jpg?v=637327909007770000,https://www.levi.com.br/cinto-levis-pressed-masculino-7713417611761/p,12-04-2022
CALÇA INFANTIL MASCULINO,"R$ 129,90",CALÇA,"82% Algodão,16% Poliester, 2% Elastano",Lavagem Escura,Menino,Código: LK5120003 Produto: Calça Jeans Levis 512 Slim Taper Infantil Categoria: Jeans Cor / lavagem: Lavagem escura Modelagem: Slim Taper Altura da cintura: Média Fecho: Zíper Coleção: Primavera / Verão 2020 Gênero: Meninos Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/450230-640-640/PC9LK5120003_01.jpg?v=637721435268900000,https://www.levi.com.br/calca-jeans-levis-512-slim-taper-infantil-lk51200030003/p,12-04-2022
Blusa Levi's Louise,"R$ 249,90",Blusa,100% Algodão,Azul,Feminino,Código: A06650002 Produto: Blusa Levi's Louise Categoria: Camisas e Blusas Cor / Lavagem: Azul Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Feminino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442248-640-640/A06650002_1.jpg?v=637660449501100000,https://www.levi.com.br/blusa-levis-louise-a066500020002/p,12-04-2022
Blusa Levi's Louise,"R$ 249,90",Blusa,100% Algodão,Preto,Feminino,Código: A06650000,https://lojalevis.vteximg.com.br/arquivos/ids/430863-640-640/A06650000_1.jpg?v=637647151113200000,https://www.levi.com.br/blusa-levis-louise-a066500000000/p,12-04-2022
Top Levi's Ole,"R$ 319,90",Top,"88% Poliamida , 12% Elastano",Azul,Feminino,Código: A06560001 Produto: Top Levi's Ole Categoria: Camisas e Blusas Cor / Lavagem: Azul Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Feminino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442266-640-640/A06560001_1.jpg?v=637660449615770000,https://www.levi.com.br/top-levis-ole-a065600010001/p,12-04-2022
Blusa Levi's Graphic Zoey,"R$ 109,90",Blusa,100% Algodão,Preto,Feminino,Código: 182650007 Produto: Blusa Levi's Graphic Zoey Categoria: Camisas e Blusas Cor / Lavagem: Preto Manga: Sem manga Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Feminino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/433487-640-640/182650007_1.jpg?v=637650694886230000,https://www.levi.com.br/blusa-levis-graphic-zoey-1826500070007/p,12-04-2022
Top Levi's Scarlet,"R$ 219,90",Top,"4% Spandex, 96% Algodão",Cinza,Feminino,Código: A07980003 Produto: Top Levi's Scarlet Categoria: Camisas e Blusas Cor / Lavagem: Cinza Manga: Longa Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Feminino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442287-640-640/A07980003_1.jpg?v=637660449727100000,https://www.levi.com.br/top-levis-scarlet-a079800030003/p,12-04-2022
Camisa Levi's Rumi,"R$ 209,90",Camisa,100% Algodão,Branco,Feminino,Código: 299580004 Produto: Camisa Levi's Rumi Categoria: Camisas e Blusas Cor / Lavagem: Branco Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Feminino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/439968-640-640/299580004_1.jpg?v=637655168334970000,https://www.levi.com.br/camisa-levis-rumi-2995800040004/p,12-04-2022
Vestido Levi's Meredith Midi,"R$ 489,90",Vestido,,,,,https://lojalevis.vteximg.com.br/arquivos/ids/434243-640-640/A08240001_1.jpg?v=637650699133400000,https://www.levi.com.br/vestido-levis-meredith-midi-a082400010001/p,12-04-2022
