name,price,gender,category,composition,leather,description,img_url,url,scrapped-at
Blusa Cropped de Alça Justa com Lastex,149,Feminino,,"Algodão 98%, Elastano 2%",,"A blusa cropped é confeccionada em algodão sustentável BCI (A certificação BCI A Better Cotton Initiative é uma ONG que reúne produtores e demais áreas envolvidas para garantir uma cadeia sustentável na produção do algodão.) com elastano, que proporciona maior conforto durante o uso. Aposte com uma calça jeans de cintura alta e uma sandália para um visual casual e descolado.",https://damyller.vteximg.com.br/arquivos/ids/588148-980-1470/Blusa-Cropped-de-Alca-Justa-com-Lastex-Frente--.jpg?v=637425450397130000,https://www.damyller.com.br/blusa-cropped-de-alca-justa-com-lastex-0v0rc08/p,11-04-2022
Blusa Cropped Decote Quadrado Canelada,99,Feminino,,"Viscose 92%, Elastano 8%",Malha,"A blusa cropped é confeccionada em malha canelada leve que possui um bom caimento, com ótima elasticidade, maleável e muito confortável. Seu decote quadrado valoriza o colo e deixa o visual ainda mais moderno e atual. Aposte com uma mom jeans e um tênis para um",https://damyller.vteximg.com.br/arquivos/ids/622494-980-1470/Blusa-Cropped-Decote-Quadrado-Canelada-Frente--.jpg?v=637604901697630000,https://www.damyller.com.br/blusa-cropped-decote-quadrado-canelada-0n0rc04/p,11-04-2022
Blusa com Babado na Manga,169,Feminino,Blusas,"Viscose 98%, Elastano 2%",,"A blusa é confeccionada em viscose com elastano, um tecido com aspecto brilhoso, com boa elasticidade, que traz conforto e tem secagem rápida. As mangas de babados são destaques na peça que tinha tudo pra ser básica. Aposte com um short e um",https://damyller.vteximg.com.br/arquivos/ids/600867-980-1470/Blusa-com-Babado-na-Manga-Frente--.jpg?v=637517016911400000,https://www.damyller.com.br/blusa-com-babado-na-manga-0v0le25/p,11-04-2022
Short Mini Clochard Color,249,Feminino,,Algodão 98% Elastano 2%. Forro De Bolso: Algodão 67% Poliéster 33%,,O,https://damyller.vteximg.com.br/arquivos/ids/582394-980-1470/Short-Mini-Clochard-Color-Frente--.jpg?v=637396947501070000,https://www.damyller.com.br/short-mini-clochard-color-0v0rb46/p,11-04-2022
Blusa de Um Ombro Só Canelada,139,Feminino,Blusas,"Poliamida 29%, Viscose 66%, Elastano 5%",Malha,A blusa de malha canelada macia e confortável aparece repaginada em um,https://damyller.vteximg.com.br/arquivos/ids/619983-980-1470/Blusa-de-Um-Ombro-So-Canelada-Frente--.jpg?v=637584442500500000,https://www.damyller.com.br/blusa-de-um-ombro-so-canelada-0v0ms54/p,11-04-2022
Calça Jeans Slouchy Cropped Cintura Alta,299,Feminino,Slouchy,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,"Com inspiração na alfaiataria, o modelo é caracterizado pela cintura super alta, pregas, e pernas mais largas que afunilam na barra e enchem a produção de estilo. A calça é confeccionada em 100% algodão sustentável BCI (A certificação BCI ¿ A",https://damyller.vteximg.com.br/arquivos/ids/589475-980-1470/Calca-Jeans-Slouchy-Cropped-Cintura-Alta-Costas--.jpg?v=637430211131670000,https://www.damyller.com.br/calca-jeans-slouchy-cropped-cintura-alta-0n0ms51/p,11-04-2022
Bermuda Jeans Azul Médio Solta Feminina,269,Feminino,,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,"A bermuda jeans solta de cintura super alta é confeccionada em 100% algodão, um tecido encorpado e que traz um visual mais moderno. O destaque fica por conta da pala frontal, que deixa o visual nada óbvio. Aposte com uma camiseta e um tênis para um",https://damyller.vteximg.com.br/arquivos/ids/584593-980-1470/Bermuda-Jeans-Solta-Feminina-Frente--.jpg?v=637405168403400000,https://www.damyller.com.br/bermuda-jeans-azul-medio-solta-feminina-0v0ms17/p,11-04-2022
Regata Solta com Gola de Lastex,149,Feminino,Regata,"Viscose 99%, Elastano 1%",,"A blusa básica ganha uma gola com franzimento por elástico, que deixa o item super moderno. A peça é confeccionada em viscose com elastano e o tecido possui um aspecto de linho, leve, com caimento e toque macio, super fresco para usar na estação. Aposte com uma saia midi para um",https://damyller.vteximg.com.br/arquivos/ids/568463-980-1470/Regata-Solta-com-Gola-de-Lastex-Frente--.jpg?v=637340628155430000,https://www.damyller.com.br/regata-solta-com-gola-de-lastex-0v0u088/p,11-04-2022
Calça Jeans Clochard Cropped com Cadarço,349,Feminino,Clochard,Algodão 98% Elastano 2%. Forro De Bolso: Algodão 67% Poliester 33%,Jeans,A,https://damyller.vteximg.com.br/arquivos/ids/584828-980-1470/Calca-Jeans-Clochard-Cropped-com-Cadarco-Frente--.jpg?v=637405480001400000,https://www.damyller.com.br/calca-jeans-clochard-cropped-com-cadarco-0n0f767/p,11-04-2022
Regata Vazada com Franzimento na Gola,129,,Regata,Poliéster 100%,,"A clássica blusa sem manga, ganha uma versão em um tecido com aspecto vazado, que tem boa elasticidade e traz conforto, o tecido é caracterizo por ter secagem rápida, amassa pouco. Aposte com uma pantalona e um salto para um visual sofisticado.",https://damyller.vteximg.com.br/arquivos/ids/578996-980-1470/Regata-Vazada-com-Franzimento-na-Gola-Frente--.jpg?v=637375921964830000,https://www.damyller.com.br/regata-vazada-com-franzimento-na-gola-0v0ld53/p,11-04-2022
