name,price,category,subcategory,composition,color,gender,description,img_url,url,scrapped-at
Shorts Água Maxi Hibiscos,"R$ 39,99",Shorts,Shorts,100% POLIESTER,PT-PRETO,Masculino,Shorts Água Tropical Floral é composto por 100% poliester.,https://storetng.vteximg.com.br/arquivos/ids/399246-639-876/V20MSHA16_950_1-SHORTS-AGUA-MAXI-HIBISCOS.jpg?v=637534911810900000,https://www.tng.com.br/shorts-agua-maxi-hibiscos-pt-preto-v20msha16-950/p,12-04-2022
Camiseta Básica Gola Larga,"R$ 39,99",Camisetas,Camiseta Lisa,100% ALGODAO,VERDE ESCURO,Masculino,Camiseta manga curta em malha lisa. Decote careca e modelagem comfort. Composição mista,https://storetng.vteximg.com.br/arquivos/ids/399726-639-876/BNMKCW33_839_1-CAMISETA-BASICA-GOLA-LARGA.jpg?v=637540206619370000,https://www.tng.com.br/camiseta-basica-gola-larga-verde-escuro-bnmkcw33-839/p,12-04-2022
Polo Piquet Mescla Friso,"R$ 79,99",Estampada,Estampada,50% POLIESTER 50% ALGODAO,TURQUESA,Masculino,"Polo manga curta em piquet com 3 botões, gola e punho em retilínea com frisos e abertura lateral. Modelagem comfort. Composição mista",https://storetng.vteximg.com.br/arquivos/ids/428943-639-876/BNMPCA37_819_1-POLO-PIQUET-MESCLA-FRISO.jpg?v=637837314467170000,https://www.tng.com.br/polo-piquet-mescla-friso-turquesa-bnmpca37-819/p,12-04-2022
Shorts Água Tropical,"R$ 39,99",Shorts,Shorts,100% POLIESTER,ROSA,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/391755-639-876/V20MSHA08_637_1-SHORTS-AGUA-TROPICAL.jpg?v=637439088367170000,https://www.tng.com.br/shorts-agua-tropical-rosa-v20msha08-637/p,12-04-2022
Camiseta M/m Df Camera,"R$ 19,99",Camisetas,Camiseta Estampada,60% ALGODAO 25% ACETATO 13% POLIAMIDA 2% ELASTANO,MESCLA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/397067-639-876/V20MMDF14_905_1-CAMISETA-M-M-DF-CAMERA.jpg?v=637492517595570000,https://www.tng.com.br/camiseta-m-m-df-camera-mescla-claro-v20mmdf14-905/p,12-04-2022
Camiseta M/m Df Flower,"R$ 19,99",Camisetas,Camiseta Estampada,60% ALGODAO 40% POLIESTER,AREIA,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/397003-639-876/V20MMDF13_504_1-CAMISETA-M-M-DF-FLOWER.jpg?v=637492517246030000,https://www.tng.com.br/camiseta-m-m-df-flower-areia-v20mmdf13-504/p,12-04-2022
Camiseta M/m Df Flower,"R$ 19,99",Camisetas,Camiseta Estampada,60% ALGODAO 40% POLIESTER,MESCLA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/397113-639-876/V20MMDF13_905_1-CAMISETA-M-M-DF-FLOWER.jpg?v=637492517869200000,https://www.tng.com.br/camiseta-m-m-df-flower-mescla-claro-v20mmdf13-905/p,12-04-2022
Camiseta M/M Df Geometric,"R$ 19,99",Camisetas,Camiseta Estampada,60% ALGODAO 40% POLIESTER,PT-PRETO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/400794-639-876/V20MMDF16_950_1-CAMISETA-M-M-DF-GEOMETRIC.jpg?v=637540213888400000,https://www.tng.com.br/camiseta-m-m-df-geometric-pt-preto-v20mmdf16-950/p,12-04-2022
Camiseta M/m Df Play,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,AZUL MARINHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/397155-639-876/V20MMDF21_750_1-CAMISETA-M-M-DF-PLAY.jpg?v=637492518096870000,https://www.tng.com.br/camiseta-m-m-df-play-azul-marinho-v20mmdf21-750/p,12-04-2022
Shorts Água Degrade,"R$ 39,99",Shorts,Shorts,100% POLIESTER,ROSA,Masculino,Shorts Água Tropical Floral é composto por 100% poliester.,https://storetng.vteximg.com.br/arquivos/ids/420550-639-876/V20MSHA23_660_1-SHORTS-AGUA-DEGRADE.jpg?v=637752853745700000,https://www.tng.com.br/shorts-agua-degrade-rosa-v20msha23-660/p,12-04-2022
Shorts Água Tie Dye,"R$ 39,99",Shorts,Shorts,100% POLIESTER,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/406328-639-876/V20MSHA25_700_1-SHORTS-AGUA-TIE-DYE.jpg?v=637647120691500000,https://www.tng.com.br/shorts-agua-tie-dye-azul-v20msha25-700/p,12-04-2022
Camisa Manga Curta Estampada,"R$ 119,99",Camisas,Camisa Casual,100% VISCOSE,OFF WHITE,Masculino,"Camisa masculina manga curta é composta por 100% algodão, com estampa diferenciada. Peça versátil, confortavél e cheia de estilo.",https://storetng.vteximg.com.br/arquivos/ids/395672-639-876/V20MHEC01_354_1-CAMISA-MC-VISCOSE-FLORAL-LIBERTY.jpg?v=637461360063570000,https://www.tng.com.br/camisa-manga-curta-estampada-off-white-v20mhec01-354/p,12-04-2022
Camiseta M/m Df Write Your Story,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,BR-BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/403958-639-876/V20MMDF10_350_1-CAMISETA-M-M-DF-WRITE-YOUR-STORY.jpg?v=637578243699200000,https://www.tng.com.br/camiseta-m-m-df-write-your-story-br-branco-v20mmdf10-350/p,12-04-2022
Camisa Mini Print Ml,"R$ 159,99",Camisas,Camisa Casual,60% POLIESTER 40% ALGODAO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/395694-639-876/V20MHEL06_700_1-CAMISA-MINI-PRINT-ML.jpg?v=637461432089430000,https://www.tng.com.br/camisa-mini-print-ml-azul-v20mhel06-700/p,12-04-2022
Camiseta M/m Df Cameras,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,BR-BRANCO,Masculino,Camiseta manga curta em malha 100% algodão com estampa de câmeras em silk. Decote careca e modelagem comfort.,https://storetng.vteximg.com.br/arquivos/ids/398967-639-876/V20MMDF30_350_1-CAMISETA-M-M-DF-CAMERAS.jpg?v=637534909598400000,https://www.tng.com.br/camiseta-m-m-df-cameras-br-branco-v20mmdf30-350/p,12-04-2022
Camiseta M/m Df Unlimited,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,MESCLA CLARO,Masculino,- Camiseta manga curta em malha mista com estampa de caveira em silk. Decote careca e modelagem comfort.,https://storetng.vteximg.com.br/arquivos/ids/399005-639-876/V20MMDF31_905_1-CAMISETA-M-M-DF-UNLIMITED.jpg?v=637534909908600000,https://www.tng.com.br/camiseta-m-m-df-unlimited-mescla-claro-v20mmdf31-905/p,12-04-2022
Camiseta Com Recorte Manga Longa,"R$ 79,99",Camisetas,Camiseta Estampada,100% ALGODAO,PT-PRETO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/401758-639-876/I21MMML12_950_1-CAMISETA-COM-RECORTE-MANGA-LONGA.jpg?v=637541982327330000,https://www.tng.com.br/camiseta-com-recorte-manga-longa-pt-preto-i21mmml12-950/p,12-04-2022
Camiseta Estampa Silk e Foil Mc,"R$ 49,99",Camisetas,Camiseta Estampada,100% ALGODAO,BR-BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/408761-639-876/I21MMDF28_350_1-CAMISETA-ESTAMPA-SILK-E-FOIL-MC.jpg?v=637683716432630000,https://www.tng.com.br/camiseta-estampa-silk-e-foil-mc-br-branco-i21mmdf28-350/p,12-04-2022
Camiseta Estampa Silk Faixa,"R$ 79,99",Camisetas,Camiseta Estampada,,MESCLA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/403337-639-876/I21MMML07_905_1-CAMISETA-ESTAMPA-SILK-FAIXA.jpg?v=637578239066600000,https://www.tng.com.br/camiseta-estampa-silk-faixa-mescla-claro-i21mmml07-905/p,12-04-2022
Polo Piquet Mescla Friso,"R$ 79,99",Estampada,Estampada,50% POLIESTER 50% ALGODAO,VERDE MENTA,Masculino,"Polo manga curta em piquet com 3 botões, gola e punho em retilínea com frisos e abertura lateral. Modelagem comfort. Composição mista",https://storetng.vteximg.com.br/arquivos/ids/416888-639-876/BNMPCA37_847_1-POLO-PIQUET-MESCLA-FRISO.jpg?v=637735512800670000,https://www.tng.com.br/polo-piquet-mescla-friso-verde-menta-bnmpca37-847/p,12-04-2022
Camiseta Canelada Piquet c Bolso,"R$ 49,99",Camisetas,Camiseta Estampada,100% ALGODAO,AZUL MARINHO,Masculino,"Camiseta em malha canelada manga curta com bolso, composição: 100% algodão e modelagem slim.",https://storetng.vteximg.com.br/arquivos/ids/418229-639-876/V21MMDF21_750_1-CAMISETA-CANELADA-PIQUET-C-BOLSO.jpg?v=637735524026130000,https://www.tng.com.br/camiseta-canelada-piquet-c-bolso-azul-marinho-v21mmdf21-750/p,12-04-2022
Bermuda Chino Color Algodão,"R$ 119,99",Bermudas,Bermudas de Sarja,100% ALGODAO,AMARELO CLARO,Masculino,"A bermuda chino é composta por 100% algodão, que garante um look mais confortável. Conta com bolsos funcionais frontais e traseiros, e com o logo da marca. Ótima para combinar com polos, camisetas, e camisas.",https://storetng.vteximg.com.br/arquivos/ids/422459-639-876/V21MBCH02_483_1-BERMUDA-CHINO-PAPER-COLOR.jpg?v=637758018250630000,https://www.tng.com.br/bermuda-chino-color-algodao-amarelo-claro-v21mbch02-483/p,12-04-2022
Polo Manga Curta Em Malha,"R$ 79,99",Estampada,Estampada,100% ALGODAO,BR-BRANCO,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda roupas.",https://storetng.vteximg.com.br/arquivos/ids/422562-639-876/BNMPPB01_350_1-POLO-MEIA-MALHA-C--PUNHO.jpg?v=637758882165370000,https://www.tng.com.br/polo-manga-curta-em-malha-br-branco-bnmppb01-350/p,12-04-2022
Polo Manga Curta Em Malha,"R$ 79,99",Estampada,Estampada,100% ALGODAO,AMARELO CLARO,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda roupas.",https://storetng.vteximg.com.br/arquivos/ids/422694-639-876/BNMPPB01_483_1-POLO-MEIA-MALHA-C--PUNHO.jpg?v=637758883469400000,https://www.tng.com.br/polo-manga-curta-em-malha-amarelo-claro-bnmppb01-483/p,12-04-2022
Polo Piquet Manga Curta Com Detalhe Diferenciado,"R$ 79,99",Estampada,Estampada,100% ALGODAO,MESCLA CLARO,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda-roupas.",https://storetng.vteximg.com.br/arquivos/ids/428229-639-876/BNMPPB02_905_1-POLO-PIQUET-MANGA-CURTA-COM-DETALHE-DIFERENCIADO.jpg?v=637837301643900000,https://www.tng.com.br/polo-piquet-manga-curta-com-detalhe-diferenciado-mescla-claro-bnmppb02-905/p,12-04-2022
Polo Piquet Manga Curta Com Detalhe Diferenciado,"R$ 79,99",Estampada,Estampada,100% ALGODAO,VERDE MENTA,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda-roupas.",https://storetng.vteximg.com.br/arquivos/ids/416876-639-876/BNMPPB02_847_1-POLO-PIQUET-COM-3-FRISOS.jpg?v=637735512738700000,https://www.tng.com.br/polo-piquet-manga-curta-com-detalhe-diferenciado-verde-menta-bnmppb02-847/p,12-04-2022
