name,price,category,subcategory,composition,color,gender,description,img_url,url,scrapped-at
,,Calçados,Tênis e botas,100% BORRACHA,VERMELHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/363379-292-292/V19MSAB04_609_1-CHINELO-ESTAMPA-BANDEIRA-INGLATERRA.jpg?v=637273319712770000,https://www.tng.com.br/chinelo-estampa-bandeira-inglaterra-vermelho-v19msab04-609/p,12-04-2022
Camisa Mc Full Print Tropical,"R$ 99,99",Camisas,Camisa Casual,50% ALGODÃO 50% POLIESTER RECICLADO,VERDE MILITAR,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/389085-639-876/I20MLH03_850_1-CAMISA-MC-FULL-PRINT-TROPICAL.jpg?v=637401833128470000,https://www.tng.com.br/camisa-mc-full-print-tropical-verde-militar-i20mlh03-850/p,12-04-2022
Jaqueta Tricô Listras,"R$ 139,99",Black Friday,Masculino,100% POLIESTER,AZUL,Masculino,"Em uma combinações de cores básicas e harmoniosas, a Jaqueta Tricô Listras tem um estilo elegante e casual. Confeccionada em tricô, possui mangas longas, gola alta, fechamento por zíper e listras largas horizontais em preto, tons de cinza e branco. É a terceira peça perfeita para incluir em um visual básico.",https://storetng.vteximg.com.br/arquivos/ids/358149-639-876/I19MRG06_750_1-JAQUETA-TRICO-LISTRAS.jpg?v=637244886009400000,https://www.tng.com.br/jaqueta-trico-listras-azul-i19mrg06-750/p,12-04-2022
,,Camisas,Camisa Social,100% ALGODAO,AZUL,Masculino,"Camisa masculina confeccionada em algodão. Possui fechamento por botões no entremeio, manga longa com botões nos punhos, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/298873-292-292/V17MMB40_712_1-CAMISA-MASCULINA-SOCIAL.jpg?v=637166366228900000,https://www.tng.com.br/camisa-masculina-social-azul-v17mmb40-712/p,12-04-2022
Camisa Manga Longa,"R$ 79,99",Black Friday,Masculino,80% ACRILICO 20% POLIESTER,BRANCO,Masculino,Camisa manga longa casual com modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/376182-639-876/V19MLB05_350_1-CAMISA-MANGA-LONGA.jpg?v=637334440546170000,https://www.tng.com.br/camisa-manga-longa-branco-v19mlb05-350/p,12-04-2022
Calça Sarja Color Skinny,"R$ 79,99",Calças,Calças de Sarja,98% ALGODAO 2% ELASTANO,VERDE,Masculino,"A Calça sarja é confeccionada em algodão e elastano, possui modelagem skinny, bolsos frontais e traseiros, passante deCintono cós e fechamento frontal por botão de casa e zíper.",https://storetng.vteximg.com.br/arquivos/ids/387576-639-876/BNMCCD87_850_1-CALCA-SARJA-COLOR-SKINNY.jpg?v=637401798106000000,https://www.tng.com.br/calca-sarja-color-skinny-verde-bnmccd87-850/p,12-04-2022
Camiseta Full Print Listras C/ Folhagem,"R$ 89,99",Camisetas,Camiseta Estampada,100% ALGODAO,ROSA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/424029-639-876/V21MMDF37_643_1-CAMISETA-FULL-PRINT-LISTRAS-C--FOLHAGEM.jpg?v=637762152152430000,https://www.tng.com.br/camiseta-full-print-listras-c-folhagem-rosa-claro-v21mmdf37-643/p,12-04-2022
Calça Sarja Chino Basica Skinny,"R$ 199,99",Calças,Calças de Sarja,98% ALGODAO 2% ELASTANO,AZUL MARINHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/421735-639-876/BNMCCH02_750_1-CALCA-SARJA-CHINO-BASICA-SKINNY.jpg?v=637753668031470000,https://www.tng.com.br/calca-sarja-chino-basica-skinny-azul-marinho-bnmcch02-750/p,12-04-2022
Camisa Maquinetada,"R$ 159,99",Camisas,Camisa Casual,60% ALGODAO 40% POLIESTER,CINZA,Masculino,Camisa manga longa maquineta e fecho frontal de botões. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/412015-639-876/V21MOSD04_920_1-CAMISA-MAQUINETADA.jpg?v=637698162096430000,https://www.tng.com.br/camisa-maquinetada-cinza-v21mosd04-920/p,12-04-2022
Camiseta Manga Longa Abstrato Com Frase,"R$ 119,99",Camisetas,Camiseta Estampada,100% ALGODAO,PT-PRETO,Masculino,"Camiseta Manga Longa Abstrato Com Frase é composta por 100% algodão, produto versatil e cheio de estilo.",https://storetng.vteximg.com.br/arquivos/ids/420164-639-876/V21MMDF31_950_1-CAMISETA-SILK-ABSTRATO-C-FRASE.jpg?v=637745688109500000,https://www.tng.com.br/camiseta-manga-longa-abstrato-com-frase-pt-preto-v21mmdf31-950/p,12-04-2022
Polo Manga Curta Em Malha,"R$ 79,99",Estampada,Estampada,100% ALGODAO,MESCLA CLARO,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda roupas.",https://storetng.vteximg.com.br/arquivos/ids/428921-639-876/BNMPPB01_905_1-POLO-MANGA-CURTA-EM-MALHA.jpg?v=637837314252400000,https://www.tng.com.br/polo-manga-curta-em-malha-mescla-claro-bnmppb01-905/p,12-04-2022
Calça Sarja Cargo Color Masculina,"R$ 239,99",Calças,Calças de Sarja,100% ALGODAO,VERDE MILITAR,Masculino,"Calça cargo tecido sarja color 100% algodão. Possui barra com elástico, bolsos frontais estilo faca, bolsos fole lateral e bolsos costas funcionais com lapela. Modelagem com barras ajustadas e quadril levemente solto.",https://storetng.vteximg.com.br/arquivos/ids/404552-639-876/I21MCCD01_850_1-CALCA-CARGO-COLOR-MASCULINA.jpg?v=637581810080800000,https://www.tng.com.br/calca-sarja-cargo-color-masculina-verde-militar-i21mccd01-850/p,12-04-2022
Camiseta Manga Longa Estampa Diferenciada,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,BR-BRANCO,Masculino,"Camiseta Manga Longa Estampa Diferenciada é composta por 100% algodão, produto versatil multicolores, ótimo para o dia a dia.",https://storetng.vteximg.com.br/arquivos/ids/400870-639-876/V20MMDF18_350_1-CAMISETA-M-M-DF-CLIMB.jpg?v=637540214393570000,https://www.tng.com.br/camiseta-manga-longa-estampa-diferenciada-br-branco-v20mmdf18-350/p,12-04-2022
Calça De Moletom C/ Bolso e Meio Punho,"R$ 139,99",Calças,Moletom,62% ALGODÃO 38% POLYESTER,AZUL MARINHO,Masculino,"Calça de moletom misto, com bolso traseiro e recortes laterais. Punho com cordão na cintura e modelagem slim.",https://storetng.vteximg.com.br/arquivos/ids/400694-639-876/V20MCCN02_750_1-CALCA-DE-MOLETOM-C--BOLSO-E-MEIO-PUNHO.jpg?v=637540213241900000,https://www.tng.com.br/calca-de-moletom-c-bolso-e-meio-punho-azul-marinho-v20mccn02-750/p,12-04-2022
Camiseta M/M Forward,"R$ 29,99",Camisetas,Camiseta Estampada,88% ALGODAO 12% POLIESTER,MESCLA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/396469-639-876/I20MKCW14_905_1-CAMISETA-M-M-FORWARD.jpg?v=637492514284530000,https://www.tng.com.br/camiseta-m-m-forward-mescla-claro-i20mkcw14-905/p,12-04-2022
Polo Estampada Full Print Tn,"R$ 59,99",Estampada,Estampada,100% ALGODAO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/345159-639-876/V19MPDH04_700_1-POLO-ESTAMPADA-FULL-PRINT-TN.jpg?v=637196383936700000,https://www.tng.com.br/polo-estampada-full-print-tn-azul-v19mpdh04-700/p,12-04-2022
Tricot Acrilico Mc Tc,"R$ 99,99",Camisetas,Camiseta Lisa,100% ACRILICO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/341044-639-876/V19MRW02_750_1-TRICOT-ACRILICO-MC-TC.jpg?v=637176570144230000,https://www.tng.com.br/tricot-acrilico-mc-tc-azul-v19mrw02-750/p,12-04-2022
Tricot Acrilico Mc Tc,"R$ 99,99",Camisetas,Camiseta Lisa,100% ACRILICO,BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/340946-639-876/V19MRW02_350_1-TRICOT-ACRILICO-MC-TC.jpg?v=637176569195400000,https://www.tng.com.br/tricot-acrilico-mc-tc-branco-v19mrw02-350/p,12-04-2022
Tricot Acrilico Mc Tc,"R$ 99,99",Camisetas,Camiseta Lisa,100% ACRILICO,PRETO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/342915-639-876/V19MRW02_950_1-TRICOT-ACRILICO-MC-TC.jpg?v=637176599923630000,https://www.tng.com.br/tricot-acrilico-mc-tc-preto-v19mrw02-950/p,12-04-2022
,,Camisetas,Camiseta Estampada,100% POLIESTER,AZUL,Masculino,"Camiseta masculina confeccionada em poliéster listrado. Possui gola v, bolsinho frontal, manga curta, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/300473-292-292/V18MKCD07_651_1-CAMISETA-MASCULINA-GOLA-V-LISTRADA.jpg?v=637166378464600000,https://www.tng.com.br/camiseta-masculina-gola-v-listrada-azul-v18mkcd07-651/p,12-04-2022
Suéter Masculino Tricô Gola v,"R$ 99,99",Casacos,Suéter,100% ACRILICO,PRETO,Masculino,"Suéter masculino confeccionado em tricô. Possui gola v, manga longa, acabamento em ribana e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/378248-639-876/I19MRD01_950_1-SUETER-MASCULINO-TRICO-GOLA-V.jpg?v=637345740482230000,https://www.tng.com.br/sueter-masculino-trico-gola-v-preto-i19mrd01-950/p,12-04-2022
Camisa Masculina Estampa Ancora,"R$ 79,99",Camisas,Camisa Casual,100% ALGODAO,BRANCO,Masculino,"Camisa masculina confeccionada em algodão com estampa âncora. Possui fechamento por botões no entremeio, manga curta, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/191090-639-876/I19MLH05_350_1-CAMISA-MASCULINA-ESTAMPA-ANCORA.jpg?v=636887792170200000,https://www.tng.com.br/camisa-masculina-estampa-ancora-branco-i19mlh05-350/p,12-04-2022
Suéter Masculino Tricô Gola v,"R$ 99,99",Casacos,Suéter,100% POLIESTER,CINZA CLARO,Masculino,"Suéter masculino confeccionado em tricô. Possui gola v, manga longa, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/204981-639-876/I19MRD05_330_1-SUETER-MASCULINO-TRICO-GOLA-V.jpg?v=636970026116070000,https://www.tng.com.br/sueter-masculino-trico-gola-v-cinza-claro-i19mrd05-330/p,12-04-2022
Colete Masculino Matelassê,"R$ 59,99",Casacos,Coletes,100% NYLON,AZUL,Masculino,"Colete masculino confeccionado em nylon com matelassê. Possui fechamento por zíper no entremeio, bolsos frontais, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/377266-639-876/I19MCON02_750_1-COLETE-MASCULINO-MATELASSE.jpg?v=637345644220870000,https://www.tng.com.br/colete-masculino-matelasse-azul-i19mcon02-750/p,12-04-2022
Camisa Básica Manga Longa,"R$ 139,99",Camisas,Camisa Social,97% ALGODAO 3% ELASTANO,VERMELHO,Masculino,"A Camisa Básica Manga Longa dá um ar de formalidade para o visual. Possui mangas longas e fechamento por botões. A confecção da peça em algodão com elastano a deixa super confortável para usar em um dia de trabalho e até mesmo para o happy hour depois do expediente. Se preferir sair do social, combine a camisa com calça jeans.",https://storetng.vteximg.com.br/arquivos/ids/369711-639-876/BNMLB08_125_1-CAMISA-BASICA-MANGA-LONGA.jpg?v=637305058868800000,https://www.tng.com.br/camisa-basica-manga-longa-vermelho-bnmlb08-125/p,12-04-2022
Suéter Masculino Tricô,"R$ 139,99",Casacos,Suéter,100% acrilico,AZUL MARINHO,Masculino,Tricot manga longa com decote careca. Composição 100% acrílico e modelagem slim.,https://storetng.vteximg.com.br/arquivos/ids/369615-639-876/I19MRY17_750_1-SUETER-MASCULINO-TRICO.jpg?v=637305001253400000,https://www.tng.com.br/sueter-masculino-trico-azul-marinho-i19mry17-750/p,12-04-2022
Suéter Masculino Tricô,"R$ 139,99",Casacos,Suéter,100% acrilico,CINZA,Masculino,Tricot manga longa com decote careca. Composição 100% acrílico e modelagem slim.,https://storetng.vteximg.com.br/arquivos/ids/382548-639-876/I19MRY17_920_1-SUETER-MASCULINO-TRICO.jpg?v=637359561223970000,https://www.tng.com.br/sueter-masculino-trico-cinza-i19mry17-920/p,12-04-2022
Jaqueta Flanela Masc,"R$ 199,99",Casacos,Jaquetas,62% ALGODÃO 38% POLYESTER,VERMELHO,Masculino,JAQUETA FLANELA MASC,https://storetng.vteximg.com.br/arquivos/ids/269096-639-876/I19MJJT02_125_1-JAQUETA-FLANELA-MASC.jpg?v=637165288836670000,https://www.tng.com.br/jaqueta-flanela-masc-vermelho-i19mjjt02-125/p,12-04-2022
Calça Social Check Galles,"R$ 59,99",Calças,Calças Sociais,100% POLIESTER,JEANS,Masculino,CALÇA SOCIAL CHECK GALLES,https://storetng.vteximg.com.br/arquivos/ids/370816-639-876/I19MDB01_950_1-CALCA-SOCIAL-CHECK-GALLES.jpg?v=637305075353200000,https://www.tng.com.br/calca-social-check-galles-jeans-i19mdb01-950/p,12-04-2022
Camisa Social Lisa,"R$ 99,99",Camisas,Camisa Casual,100% ALGODAO,BRANCO,Masculino,"Para homens que frequentam ambientes formais, ter uma Camisa Social Lisa é essencial. Elas deixam o visual mais elegante e sofisticado. Esse modelo é confeccionado em algodão, possui mangas longas, gola italiana e fechamento por botões. São cores básicas e fáceis de combinar. Quanto mais cores tiver disponível no seu guarda-roupa, melhor!",https://storetng.vteximg.com.br/arquivos/ids/338362-639-876/I19MMB26_350_1-CAMISA-SOCIAL-LISA.jpg?v=637176545450400000,https://www.tng.com.br/camisa-social-lisa-branco-i19mmb26-350/p,12-04-2022
Mg Yarn Dyed Tricot,"R$ 119,99",Black Friday,Masculino,100% POLIESTER,AZUL,Masculino,MG YARN DYED TRICOT,https://storetng.vteximg.com.br/arquivos/ids/371237-639-876/I19MRD02_750_1-MG-YARN-DYED-TRICOT.jpg?v=637305078860870000,https://www.tng.com.br/mg-yarn-dyed-tricot-azul-i19mrd02-750/p,12-04-2022
Jaqueta Tricô Listras,"R$ 139,99",Black Friday,Masculino,100% POLIESTER,CINZA,Masculino,"Em uma combinações de cores básicas e harmoniosas, a Jaqueta Tricô Listras tem um estilo elegante e casual. Confeccionada em tricô, possui mangas longas, gola alta, fechamento por zíper e listras largas horizontais em preto, tons de cinza e branco. É a terceira peça perfeita para incluir em um visual básico.",https://storetng.vteximg.com.br/arquivos/ids/382536-639-876/I19MRG06_970_1-JAQUETA-TRICO-LISTRAS.jpg?v=637359561129100000,https://www.tng.com.br/jaqueta-trico-listras-cinza-i19mrg06-970/p,12-04-2022
Short Estampado Bananas,"R$ 39,99",,,100% NYLON,JEANS,Masculino,"O Short Estampado Bananas é super descontraído para usar nos dias quentes de verão. Sua estampa possui fundo azul com desenhos de bananas, uma combinação de cores divertida e alegre que tem a cara dessa estação. Ainda possui cós elástico com cordão, bolsos frontais e um bolso posterior. Use com camisa leve e desfrute de um look fresh.",https://storetng.vteximg.com.br/arquivos/ids/269571-639-876/I19MSHN12_841_1-SHORT-ESTAMPADO-BANANAS.jpg?v=637165328551930000,https://www.tng.com.br/short-estampado-bananas-jeans-i19mshn12-841/p,12-04-2022
Short Estampado Com Ancoras,"R$ 39,99",Shorts,Shorts,100% NYLON,AZUL,Masculino,SHORT ESTAMPADO COM ANCORAS,https://storetng.vteximg.com.br/arquivos/ids/405293-639-876/I19MSHN15_705_1-SHORT-ESTAMPADO-COM-ANCORAS.jpg?v=637647109789400000,https://www.tng.com.br/short-estampado-com-ancoras-azul-i19mshn15-705/p,12-04-2022
Short Estampada Beer,"R$ 39,99",Shorts,Shorts,100% NYLON,AZUL,Masculino,SHORT ESTAMPADA BEER,https://storetng.vteximg.com.br/arquivos/ids/379152-639-876/I19MSHN16_734_1-SHORT-ESTAMPADA-BEER.jpg?v=637353647252800000,https://www.tng.com.br/short-estampada-beer-azul-i19mshn16-734/p,12-04-2022
Shorts Agua Dark Floral,"R$ 39,99",Shorts,Shorts,100% NYLON,PRETO,Masculino,SHORTS AGUA DARK FLORAL,https://storetng.vteximg.com.br/arquivos/ids/270767-639-876/V18MSHN58_950_1-SHORTS-AGUA-DARK-FLORAL.jpg?v=637165351892800000,https://www.tng.com.br/shorts-agua-dark-floral-preto-v18mshn58-950/p,12-04-2022
Short Agua Floral,"R$ 39,99",Shorts,Shorts,100% NYLON,AREIA,Masculino,SHORT AGUA FLORAL,https://storetng.vteximg.com.br/arquivos/ids/270763-639-876/V18MSHN57_504_1-SHORT-AGUA-FLORAL.jpg?v=637165351853070000,https://www.tng.com.br/short-agua-floral-areia-v18mshn57-504/p,12-04-2022
Camiseta Básica Gola v,"R$ 39,99",Camisetas,Camiseta Lisa,60% ALGODAO 40% POLIESTER,AZUL,Masculino,Camiseta manga curta em malha lisa. Decote V e modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/422585-639-876/BNMKCD36_750_1-CAMISETA-BASICA-GOLA-V.jpg?v=637758882307270000,https://www.tng.com.br/camiseta-basica-gola-v-azul-bnmkcd36-750/p,12-04-2022
Camisa Com Elastano Manga Longa,"R$ 159,99",Camisas,Camisa Social,97% ALGODAO 3% ELASTANO,BRANCO,Masculino,"Camisa masculina manga longa lisa, é composta por 97% algodão 3% elastano, é multicolores. Modelo clássico e muito confortável.",https://storetng.vteximg.com.br/arquivos/ids/337897-639-876/BNMLB12_350_1-CAMISA-COM-ELASTANO-MANGA-LONGA.jpg?v=637176541777930000,https://www.tng.com.br/camisa-com-elastano-manga-longa-branco-bnmlb12-350/p,12-04-2022
Jaqueta Detalhe Ribana,"R$ 199,99",Casacos,Jaquetas,100% POLIESTER,PRETO,Masculino,"Estilosa e moderna, a Jaqueta Detalhe Ribana é uma ótima terceira peça para completar o look. Possui mangas longas, detalhes em ribana na gola e na barra da manga e contém fechamento por zíper. Experimente compor um look com calça jeans e camiseta estampada. Em dias mais frios, tocas também deixam o visual mais despojado.",https://storetng.vteximg.com.br/arquivos/ids/371039-639-876/I19MJN02_950_1-JAQUETA-DETALHE-RIBANA.jpg?v=637305077224600000,https://www.tng.com.br/jaqueta-detalhe-ribana-preto-i19mjn02-950/p,12-04-2022
Polo Piquet Manga Curta,"R$ 79,99",Estampada,Estampada,100% ALGODAO,ROSA,Masculino,"Polo manga curta em piquet com 2 botões, gola e punho em retilínea lisos. Modelagem comfort e composição mista.",https://storetng.vteximg.com.br/arquivos/ids/343599-639-876/BNMPCA40_639_1-POLO-PIQUET-MANGA-CURTA.jpg?v=637178027527300000,https://www.tng.com.br/polo-piquet-manga-curta-rosa-bnmpca40-639/p,12-04-2022
Jaqueta Pu Masculina Com Bolsos Frontais,"R$ 499,99",Casacos,Jaquetas,100% POLIESTER,JEANS,Masculino,"Jaqueta PU Masculina Com Bolsos Frontais é composta por 100% poliester, conta com bolsos frontais diferenciados, peça confortavél, ótima para os dias mais frios.",https://storetng.vteximg.com.br/arquivos/ids/382298-639-876/I19MJP03_950_1-MG-PU-JACKET.jpg?v=637359560123500000,https://www.tng.com.br/jaqueta-pu-masculina-com-bolsos-frontais-jeans-i19mjp03-950/p,12-04-2022
Camisa Manga Longa,"R$ 79,99",Black Friday,Masculino,80% ACRILICO 20% POLIESTER,AZUL,Masculino,Camisa manga longa casual com modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/385320-639-876/V19MLB05_705_1-CAMISA-MANGA-LONGA.jpg?v=637359582985300000,https://www.tng.com.br/camisa-manga-longa-azul-v19mlb05-705/p,12-04-2022
Jaqueta Pu Masculina Com Bolsos Frontais,"R$ 499,99",Casacos,Jaquetas,100% POLIESTER,PT-PRETO,Masculino,"Jaqueta PU Masculina Com Bolsos Frontais é composta por 100% poliester, conta com textura diferenciada na parte frontal. Peça confortavél, ótima para os dias mais frios.",https://storetng.vteximg.com.br/arquivos/ids/358077-639-876/I19MJP06_950_1-MG-PU-JACKET.jpg?v=637244884831670000,https://www.tng.com.br/jaqueta-pu-masculina-com-bolsos-frontais-pt-preto-i19mjp06-950/p,12-04-2022
Camisa Estampada Manga Longa,"R$ 79,99",Camisas,Camisa Casual,100% ALGODAO,AZUL,Masculino,CAMISA ESTAMPADA MANGA LONGA,https://storetng.vteximg.com.br/arquivos/ids/390942-639-876/V19MLG31_705_1-CAMISA-ESTAMPADA-MANGA-LONGA.jpg?v=637439074752830000,https://www.tng.com.br/camisa-estampada-manga-longa-azul-v19mlg31-705/p,12-04-2022
Camisa Estampa Em Folhagens Manga Longa,"R$ 79,99",Camisas,Camisa Casual,100% ALGODAO,AZUL,Masculino,"Camisa masculina manga longa é composta por 100% algodão, com estampa em folhagens. Peça versátil, confortavél e cheia de estilo.",https://storetng.vteximg.com.br/arquivos/ids/391988-639-876/V19MLG36_750_1-CAMISA-ESTAMPADA-MANGA-LONGA.jpg?v=637441590056470000,https://www.tng.com.br/camisa-estampa-em-folhagens-manga-longa-azul-v19mlg36-750/p,12-04-2022
Camisa Estampada Manga Curta,"R$ 79,99",Camisas,Camisa Casual,100% ALGODAO,AZUL,Masculino,CAMISA ESTAMPADA MANGA CURTA,https://storetng.vteximg.com.br/arquivos/ids/393088-639-876/V19MLH11_743_1-CAMISA-ESTAMPADA-MANGA-CURTA.jpg?v=637444182137470000,https://www.tng.com.br/camisa-estampada-manga-curta-azul-v19mlh11-743/p,12-04-2022
Camisa Social,"R$ 79,99",Camisas,Camisa Casual,60% POLIESTER 40% ALGODAO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/360630-639-876/V19MMM05_700_1-CAMISA-SOCIAL.jpg?v=637250777694330000,https://www.tng.com.br/camisa-social-azul-v19mmm05-700/p,12-04-2022
Camisa Social,"R$ 79,99",Camisas,Camisa Casual,60% POLIESTER 40% ALGODAO,AZUL,Masculino,"A Camisa Social tem uma estampa gravataria bem leve, em tom sobre tom, para dar um toque diferenciado à peça. É uma camisa de mangas longas, gola italiana e fechamento por botões. Perfeita para usar no trabalho, seja com calça social ou calça jeans. Para usar com jeans, prefira as calças de lavagem mais escura.",https://storetng.vteximg.com.br/arquivos/ids/356639-639-876/V19MMM10_705_1-CAMISA-SOCIAL.jpg?v=637236793840700000,https://www.tng.com.br/camisa-social-azul-v19mmm10-705/p,12-04-2022
Tênis Color Body,"R$ 99,99",Calçados,Tênis e botas,100 % COURO,BRANCO,Masculino,Tênis Color Body,https://storetng.vteximg.com.br/arquivos/ids/380783-639-876/V19MTET16_350_1-TENIS-COLOR-BODY.jpg?v=637353714248230000,https://www.tng.com.br/tenis-color-body-branco-v19mtet16-350/p,12-04-2022
Tênis De Elastico,"R$ 99,99",Calçados,Tênis e botas,100 % COURO,AZUL,Masculino,Tênis De Elastico,https://storetng.vteximg.com.br/arquivos/ids/344630-639-876/V19MTET22_750_1-TENIS-DE-ELASTICO.jpg?v=637178295717430000,https://www.tng.com.br/tenis-de-elastico-azul-v19mtet22-750/p,12-04-2022
Shorts Agua Camuflada,"R$ 39,99",Shorts,Shorts,100% NYLON,VERDE,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/355806-639-876/V19MSHN08_850_1-SHORTS-AGUA-CAMUFLADA.jpg?v=637227654274800000,https://www.tng.com.br/shorts-agua-camuflada-verde-v19mshn08-850/p,12-04-2022
Tênis Furadinho Laser,"R$ 99,99",Calçados,Tênis e botas,100 % COURO,BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/380790-639-876/V19MTET20_350_1-TENIS-FURADINHO-LASER.jpg?v=637353714364730000,https://www.tng.com.br/tenis-furadinho-laser-branco-v19mtet20-350/p,12-04-2022
Jaqueta Pu Gola Alta Com Bolsos,"R$ 499,99",Casacos,Jaquetas,100% PU,PRETO,Masculino,"Jaqueta Pu Gola Alta com bolsos frontais, produto composto por 100% PU peça moderna e confortavél.",https://storetng.vteximg.com.br/arquivos/ids/402782-639-876/I20MJP05_950_1-JAQUETA-PU-GOLA-ALTA.jpg?v=637578233194700000,https://www.tng.com.br/jaqueta-pu-gola-alta-com-bolsos-preto-i20mjp05-950/p,12-04-2022
Camisa Social Fio 50 Manga Longa,"R$ 139,99",Camisas,Camisa Social,100% ALGODAO,AZUL,Masculino,"Camisa social masculina manga longa é composta por 100% algodão, lisa. Peça versátil, confortavél e cheia de estilo.",https://storetng.vteximg.com.br/arquivos/ids/372921-639-876/V19MMB22_700_1-CAMISA-SOCIAL-FIO-50.jpg?v=637305094081500000,https://www.tng.com.br/camisa-social-fio-50-manga-longa-azul-v19mmb22-700/p,12-04-2022
Shorts Água Estampado,"R$ 39,99",Shorts,Shorts,100% NYLON,BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/345156-639-876/V19MSHN49_65_1-SHORTS-AGUA-ESTAMPADO.jpg?v=637196383901230000,https://www.tng.com.br/shorts-agua-estampado-branco-v19mshn49-65/p,12-04-2022
Laylon Bermuda Slim Jeans,"R$ 49,99",Bermudas,Bermudas Jeans,82% ALGODAO 16% POLIESTER 2% ELASTANO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/341725-639-876/V19MBJM20_817_1-LAYLON-BERMUDA-SLIM-JEANS.jpg?v=637176588752770000,https://www.tng.com.br/laylon-bermuda-slim-jeans-azul-v19mbjm20-817/p,12-04-2022
Camiseta Listrada Assinatura,"R$ 39,99",Camisetas,Camiseta Estampada,100% POLIESTER,BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/400557-639-876/V19MKDW166_350_1-HP-CAMISETA-LISTRADA-ASSINATURA.jpg?v=637540212402600000,https://www.tng.com.br/camiseta-listrada-assinatura-branco-v19mkdw166-350/p,12-04-2022
Polo Meia Malha Sem Punho,"R$ 79,99",Basica,Basica,50% ALGODÃO 50% POLIESTER RECICLADO,BR-BRANCO,Masculino,Polo manga curta em malha com 2 botões e gola em retilínea. Modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/389881-639-876/BNMPCA56_350_1-POLO-MEIA-MALHA-SEM-PUNHO.jpg?v=637439059797900000,https://www.tng.com.br/polo-meia-malha-sem-punho-br-branco-bnmpca56-350/p,12-04-2022
Camiseta Básica Gola v,"R$ 39,99",Camisetas,Camiseta Lisa,60% ALGODAO 40% POLIESTER,AZUL INDIGO,Masculino,Camiseta manga curta em malha lisa. Decote V e modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/430362-639-876/BNMKCD36_740_1-CAMISETA-BASICA-GOLA-V.jpg?v=637849260428830000,https://www.tng.com.br/camiseta-basica-gola-v-azul-indigo-bnmkcd36-740/p,12-04-2022
Camiseta M/m Paris Map,"R$ 19,99",Camisetas,Camiseta Estampada,100% ALGODAO,AZUL,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/390253-639-876/I20MKCW05_700_1-CAMISETA-M-M-PARIS-MAP.jpg?v=637439064591000000,https://www.tng.com.br/camiseta-m-m-paris-map-azul-i20mkcw05-700/p,12-04-2022
Camisa Mc Print Folhagens,"R$ 99,99",Camisas,Camisa Casual,50% ALGODÃO 50% POLIESTER RECICLADO,MESCLA ESCURO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/371958-639-876/I20MLH02_901_1-CAMISA-MC-PRINT-FOLHAGENS.jpg?v=637305085720370000,https://www.tng.com.br/camisa-mc-print-folhagens-mescla-escuro-i20mlh02-901/p,12-04-2022
Moletom Ml C/ Gola e Bolso,"R$ 97,99",Casacos,Moletom,50% POLIESTER 50% ALGODAO,PRETO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/382677-639-876/I20MHM01_950_1-MOLETOM-ML-C--GOLA-E-BOLSO.jpg?v=637359562210330000,https://www.tng.com.br/moletom-ml-c-gola-e-bolso-preto-i20mhm01-950/p,12-04-2022
