name,price,composition,age,category,gender,description,url,scrapped-at
Blusa M/c Borboleta Voa Voa,"69,95",BLUSA EM MALHA 95% ALGODÃO E 5% POLIÉSTER,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,"""Blusa rosa com estampa localizada. Confeccionada em malha, ideal para o dia a dia das pequenas! A Blusa Borboleta Voa Voa é confeccionada em malha rosa, confortável e macia, com uma linda estampa localizada e detalhe de asa em alto relevo. Além disso, a blusinha possui decote redondo e manguinhas 3/4 amplas, deixando a peça mais quentinha e estilosa. A blusa fica linda combinada com leggings e casaquinhos, perfeita para o inverno!""",https://www.alphabeto.com/blusa-m-c-borboleta-voa-voa-55381/p,11-04-2022
Calça Pop,"64,97",,Miniteen - 10 a 14 Anos,"Calças, Leggings e Capris",Meninas,"Uma linda calça jeans, moderna e estilosa, com bolsos e cintura em elástico para dar maior conforto.",https://www.alphabeto.com/calca-pop-53433/p,11-04-2022
Batinha Fadinhas,"44,97",,Criança - 1 a 10 Anos,Vestidos,Meninas,Batinha com estampa colorida e detalhe vazado nos ombros.,https://www.alphabeto.com/batinha-fadinhas-53393/p,11-04-2022
Vestido Borboletinha,,,Criança - 1 a 10 Anos,Vestidos,Meninas,"Vestido soltinho com manguinhas largas, ombros vazados e borboletas estampadas por todo o vestido.",https://www.alphabeto.com/vestido-borboletinha-53390/p,11-04-2022
Body M/c o Elefantinho,,,Bebês - 0 a 12 Meses,Bodies,Meninas,Um body super lindinho liso com mangas vazadas e aplicação de lacinhos coloridos nas pontas.,https://www.alphabeto.com/body-m-c-o-elefantinho-53288/p,11-04-2022
Macaquinho,,,Criança - 1 a 10 Anos,Conjuntos e Kits,Meninas,"Macaquinho colorido e fofo com estampa de unicórnio e castelos, com babadinho no decote e aplicação de pompons nas pontas.",https://www.alphabeto.com/macaquinho-54766/p,11-04-2022
Casaco,,,Criança - 1 a 10 Anos,"Casacos, Jaquetas, Blazers, Capas, Kimonos, Casaquetos e Coletes",Meninas,Casaco quentinho com estampa fofa.,https://www.alphabeto.com/casaco-53447/p,11-04-2022
Legging,,,Criança - 1 a 10 Anos,"Calça, Leggings e Capris",Meninas,Legging xadrez para deixar o look mais fofo!,https://www.alphabeto.com/legging-53413/p,11-04-2022
Legging,,,Criança - 1 a 10 Anos,"Calça, Leggings e Capris",Meninas,Legging com estampa fofa.,https://www.alphabeto.com/legging-53412/p,11-04-2022
Blusa M/c,,,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,Blusa com detalhe fofo de arco íris!,https://www.alphabeto.com/blusa-m-c-53456/p,11-04-2022
Macaquinho,,,Criança - 1 a 10 Anos,Conjuntos e Kits,Meninas,"Macaquinho fofo com estampa colorida de meninas e flores, com babadinho no decote e pompons aplicados nas pontas.",https://www.alphabeto.com/macaquinho-54764/p,11-04-2022
Blusa M/l,,,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,Blusa de manga comprida e detalhe de lhama. Um amor!,https://www.alphabeto.com/blusa-m-l-53458/p,11-04-2022
Vestido,,,Criança - 1 a 10 Anos,Vestidos,Meninas,"Vestido fofo com estampa de balinhas, mangas ciganinhas e alças fininhas com laço.",https://www.alphabeto.com/vestido-54779/p,11-04-2022
Vestido,,,Criança - 1 a 10 Anos,Vestidos,Meninas,Vestido com detalhe em babadinhos no decote e saia colorida com estampas étnicas.,https://www.alphabeto.com/vestido-54790/p,11-04-2022
Vestido,,,Criança - 1 a 10 Anos,Vestidos,Meninas,"Vestido fofo com saída rodada, detalhes vazes e lacinhos aplicados nas laterais.",https://www.alphabeto.com/vestido-54763/p,11-04-2022
Short Arara Azul,,,Miniteen - 10 a 14 Anos,"Shorts, Saias, Shorts-Saias e Bermudas",Meninas,Bermuda para as meninas que amam conforto e estilo na cor laranja que é tendência.,https://www.alphabeto.com/short-arara-azul-53257/p,11-04-2022
Pimpão,,,Bebês - 0 a 12 Meses,"Macacão, Pimpão, Macaquinho, Jardineira e Jumper",Meninas,Pimpão fofinho com mini borboletas em sua estampa e parte superior listradinha. Possui abotoamento entrepernas.,https://www.alphabeto.com/pimpao-53340/p,11-04-2022
Bolsa o Elefantinho,,,Criança - 1 a 10 Anos,Acessórios,Meninas,Uma linda bolsinha em formato de elefantinho e alça colorida.,https://www.alphabeto.com/bolsa-o-elefantinho-53302/p,11-04-2022
Blusa M/c o Elefantinho,,,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,Blusa estilo canelada com detalhe fofo bordado no centro: uma linda indiana com sua roupinha estampada.,https://www.alphabeto.com/blusa-m-c-o-elefantinho-53285/p,11-04-2022
Arco 2 Em 1 o Elefantinho,,,Criança - 1 a 10 Anos,Acessórios,Meninas,"Uma opção fofa de presente, um lindo arco que vem com lacinho que sua pequena pode usar separado do arquinho, 2 presentes fofos em 1.",https://www.alphabeto.com/arco-2-em-1-o-elefantinho-53301/p,11-04-2022
Short Saia Tudo Cor de Rosa,,,Criança - 1 a 10 Anos,Shorts-Saia,Meninas,Short saia jeans para as meninas que amam saias mas também amam shortinhos.,https://www.alphabeto.com/short-saia-tudo-cor-de-rosa-53408/p,11-04-2022
Conjunto Fadinhas,,,Meninas,Meninas,OFF,Conjunto confortável e quentinho composto por blusa de manga comprida e legging estampada.,https://www.alphabeto.com/conjunto-fadinhas-53400/p,11-04-2022
Conjunto Borboletinha,,,Criança - 1 a 10 Anos,Conjuntos e Kits,Meninas,"Conjunto confortável para as meninas, com blusa estampada com borboletas e legging jeans lisa.",https://www.alphabeto.com/conjunto-borboletinha-53391/p,11-04-2022
Casaco Tudo Cor de Rosa,"44,97",,Bebês - 0 a 12 Meses,"Casacos, Casaquetos e Jaquetas",Meninas,Casaco fofinho com detalhes bordados no bolso e botões no decote.,https://www.alphabeto.com/casaco-tudo-cor-de-rosa-53410/p,11-04-2022
,,,,,,,https://www.alphabeto.com/blusa-m-l-53459/p,11-04-2022
Vestido Tudo Cor de Rosa,,,Criança - 1 a 10 Anos,Vestidos,Meninas,Vestido rodado com estampa colorida de mini fadas e detalhe de lacinho aplicado no decote.,https://www.alphabeto.com/vestido-tudo-cor-de-rosa-53404/p,11-04-2022
,,,,,,,https://www.alphabeto.com/short-saia-tudo-cor-de-rosa-53405/p,11-04-2022
Casaco Fadinhas,"49,97",,Criança - 1 a 10 Anos,"Casacos, Jaquetas, Blazers, Capas, Kimonos, Casaquetos e Coletes",Meninas,Casaco quentinho e confortável com mangas bufantes e mini pompons aplicados nos botões.,https://www.alphabeto.com/casaco-fadinhas-53398/p,11-04-2022
Macaquinho,,,Criança - 1 a 10 Anos,Conjuntos e Kits,Meninas,"Macaquinho fofo com estampa de borboletas coloridas, com babadinho no decote e aplicação de pompons nas pontas.",https://www.alphabeto.com/macaquinho-54768/p,11-04-2022
