name,price,material,composition,gender,category,is_kit,qt_pieces,description,img_url,url,scrapped-at
Macaquinho Tricae Infantil Coelhinho Cinza,26.99,Algodão,88% Algodão/ 12% Poliéster,menina,macacoes,False,1,Detalhes do produto Macaquinho Tricae Infantil Coelhinho Cinza Gola: Redonda Manga: Curta Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM32VYL Modelo Tricae DAT705 Material Algodão Composição 88% Algodão/ 12% Poliéster Modelagem Reta Cor Cinza Ocasião de uso Casual País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macaquinho-Tricae-Infantil-Coelhinho-Cinza-9701-7655349-1-zoom.jpg,https://www.tricae.com.br/Macaquinho-Tricae-Infantil-Coelhinho-Cinza-9435567.html,12-04-2022
Macacão Tricae Infantil Full Print Verde,35.99,Algodão,100% Algodão,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Full Print Verde Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM06XLX Modelo Tricae DAT718 Material Algodão Composição 100% Algodão Modelagem Reta Cor Verde Ocasião de uso Casual Estampa Full Print País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Full-Print-Verde-0042-3956349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Full-Print-Verde-9436593.html,12-04-2022
Macacão Tricae Infantil Poá Off-White,35.99,Algodão,100% Algodão,menina,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Poá Off-White Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM20VYX Modelo Tricae DAT711 Material Algodão Composição 100% Algodão Modelagem Reta Cor Off White Ocasião de uso Casual Estampa Poá País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Po%C3%A1-Off-White-0632-9755349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Poa-Off-White-9435579.html,12-04-2022
Macacão Tricae Infantil Full Print Off-White,35.99,Algodão,100% Algodão,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Full Print Off-White Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM12VZF Modelo Tricae DAT718 Material Algodão Composição 100% Algodão Modelagem Reta Cor Off White Ocasião de uso Casual Estampa Full Print País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Full-Print-Off-White-1377-7855349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Full-Print-Off-White-9435587.html,12-04-2022
Macacão Tricae Infantil Gatinho Verde,35.99,Algodão,100% Algodão,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Gatinho Verde Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM98XMF Modelo Tricae DAT722 Material Algodão Composição 100% Algodão Modelagem Reta Cor Verde Ocasião de uso Casual Estampa Bichos País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Gatinho-Verde-9482-1066349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Gatinho-Verde-9436601.html,12-04-2022
Salopete Tricae Infantil Coelho Azul-Marinho,49.99,Algodão,"65% Algodão, 32% Poliéster, 3% Elastano",menina,macacoes,False,1,"Detalhes do produto Salopete Tricae Infantil Coelho Azul-Marinho Gola: Quadrada Fecho: Botão Bolsos: 2 Tecido: Malha Características: Possui barra dobrada e alça com ajuste de botão Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM84FIH Modelo Tricae TRCKW0018 Material Algodão Composição 65% Algodão, 32% Poliéster, 3% Elastano Modelagem Reta Cor Azul Marinho Ocasião de uso Casual Estampa Bichos País de origem Brasil Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve",https://static.dafiti.com.br/p/Tricae-Salopete-Tricae-Infantil-Coelho-Azul-Marinho-0540-51316401-1-zoom.jpg,https://www.tricae.com.br/Salopete-Tricae-Infantil-Coelho-Azul-Marinho-10461315.html,12-04-2022
Macacão Tricae Infantil Gatinho Azul,35.99,Algodão,100% Algodão,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Gatinho Azul Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM04XLZ Modelo Tricae DAT722 Material Algodão Composição 100% Algodão Modelagem Reta Cor Azul Ocasião de uso Casual Estampa Bichos País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Gatinho-Azul-9662-5956349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Gatinho-Azul-9436595.html,12-04-2022
Macacão Tricae Infantil Full Print Cinza,35.99,Algodão,88% Algodão/ 12% Poliéster,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Full Print Cinza Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM10VZH Modelo Tricae DAT718 Material Algodão Composição 88% Algodão/ 12% Poliéster Modelagem Reta Cor Cinza Ocasião de uso Casual Estampa Full Print País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Full-Print-Cinza-2994-9855349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Full-Print-Cinza-9435589.html,12-04-2022
Macacão Tricae Infantil Gatinho Cinza,35.99,Algodão,88% Algodão/ 12% Poliéster,menino,macacoes,False,1,Detalhes do produto Macacão Tricae Infantil Gatinho Cinza Gola: Redonda Manga: Longa Fecho: Botão Tecido: Malha Características: Possui tecido mesclado apresentando tons de cinza e off-white Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM02XMB Modelo Tricae DAT722 Material Algodão Composição 88% Algodão/ 12% Poliéster Modelagem Reta Cor Cinza Ocasião de uso Casual Estampa Bichos País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Macac%C3%A3o-Tricae-Infantil-Gatinho-Cinza-3681-7956349-1-zoom.jpg,https://www.tricae.com.br/Macacao-Tricae-Infantil-Gatinho-Cinza-9436597.html,12-04-2022
Kit 3pçs Tricae Infantil Melancia Verde,59.99,Algodão,Kit: 100% Algodão,menina,bodies-e-culotes,True,3,"Detalhes do produto Kit 3pçs Tricae Infantil Melancia Verde Gola: Redonda Manga: Curta Fecho: Botão Tecido: Malha Características: Kit composto por três peças, sendo dois bodies e uma saia. Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM76VWT Modelo Tricae DAT459 Material Algodão Composição Kit: 100% Algodão Modelagem Reta Cor Verde Ocasião de uso Casual Estampa Frutas Kit 3 Peças País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve",https://static.dafiti.com.br/p/Tricae-Kit-3p%C3%A7s-Tricae-Infantil-Melancia-Verde-0922-3255349-1-zoom.jpg,https://www.tricae.com.br/Kit-3pcs-Tricae-Infantil-Melancia-Verde-9435523.html,12-04-2022
