name,price,composition,gender,category,description,img_url,url,scrapped-at
Vestido Floresta Viva,"R$ 199,99",Indefinida,Meninas,Vestido,"Vestido desenvolvido em tecido plano, mangas curtas amplas, decote liso formando franzido, na colorida estampa Floresta Viva.",https://lojafabula.vteximg.com.br/arquivos/ids/583291-799-1000/512811_0000_1-VESTIDO-FLORESTA-VIVA.jpg?v=637841705481800000,https://www.afabula.com.br/vestido-floresta-viva-colorido-5-12811-0000/p,11-04-2022
Colar Pompom Flor De Mandacaru,"R$ 98,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/575852-799-1000/510352_0000_1-COLAR-POMPOM-FLOR-DE-MANDACARU.jpg?v=637802091091530000,https://www.afabula.com.br/colar-pompom-flor-de-mandacaru-colorido-5-10352-0000/p,11-04-2022
Biquini Ml Bola De Sabao Preto,"R$ 219,00",82% Poliamida 18% Elastano Forro 87% Poliamida 13% Elastano Combinação 82% Poliamida 18% Elastano Forro 87% Poliamida 13% Elastano,Meninas,Praia,,https://lojafabula.vteximg.com.br/arquivos/ids/576971-799-1000/511004_17061_1-BIQUINI-ML-BOLA-DE-SABAO-PRETO.jpg?v=637813354438630000,https://www.afabula.com.br/biquini-ml-bola-de-sabao-preto-est-bolha-de-sabao-fundo-preto-5-11004-17061/p,11-04-2022
Tatuagem Mina,"R$ 49,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/580835-799-1000/511328_0000_1-TATUAGEM-MINA.jpg?v=637828903160570000,https://www.afabula.com.br/tatuagem-mina-colorido-5-11328-0000/p,11-04-2022
Tic Tac Bananica,"R$ 79,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/580844-799-1000/511334_0000_1-TIC-TAC-BANANICA.jpg?v=637828903198270000,https://www.afabula.com.br/tic-tac-bananica-colorido-5-11334-0000/p,11-04-2022
Kit Pulseira Floju,"R$ 79,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/580859-799-1000/511337_0000_1-KIT-PULSEIRA-FLOJU.jpg?v=637828903260800000,https://www.afabula.com.br/kit-pulseira-floju-colorido-5-11337-0000/p,11-04-2022
Bolsa Cuca,"R$ 169,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/571073-799-1000/511255_0000_1-BOLSA-CUCA.jpg?v=637795243918800000,https://www.afabula.com.br/bolsa-cuca-colorido-5-11255-0000/p,11-04-2022
Blusa Manga Longa Silk Jabutigarta,"R$ 119,00",Indefinida,Meninas,Blusa / Bata,"Blusa infantil com mangas longas, decote em u com vivo, listrado nas costas, barrado traseiro, e silk jabutigarta na parte frontal.",https://lojafabula.vteximg.com.br/arquivos/ids/569638-799-1000/511095_02349_1-BLUSA-MANGA-LONGA-SILK-JABUTIGARTA.jpg?v=637795230373600000,https://www.afabula.com.br/blusa-manga-longa-silk-jabutigarta-azul-aquario-5-11095-02349/p,11-04-2022
Tricot Brisa,"R$ 298,00",Indefinida,Meninas,Casaco,,https://lojafabula.vteximg.com.br/arquivos/ids/584850-799-1000/511128_17009_1-TRICOT-BRISA.jpg?v=637847730527270000,https://www.afabula.com.br/tricot-brisa-est-brisa-fundo-off---5-11128-17009/p,11-04-2022
Necessaire Pelucia,"R$ 79,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/581944-799-1000/512345_17279_1-NECESSAIRE-PELUCIA.jpg?v=637840675423200000,https://www.afabula.com.br/necessaire-pelucia-est-pelucia-bento-fundo-preto---5-12345-17279/p,11-04-2022
