name,price,composition,gender,age,category,subcategory,description,img_url,url,scrapped-at
Skateboard pro mormaii urban,"R$ 445,90","dimensões (c x l): 80 cm x 19,5 cm  - suporta até  100 kg",Unissex,Adulto,,Street,Shape com 7 lâminas de madeiras selecionadas.,https://mormaiishop.vteximg.com.br/arquivos/ids/2527106-450-450/459100_AZUL-VERDE_1.jpg?v=637660595470200000,https://www.mormaiishop.com.br/skateboard-pro-mormaii-urban-459100/p,12-04-2022
Top biquini circle de amarrar frontal mormaii,"R$ 125,90",Malha em poliéster com elastano,Feminino,Adulto,,Busto,"Top com argola em rolotê na parte frontal, cós fixo, alças com regulagem e aplicação de termocolante na parte traseira com logo da marca. detalhes nada básicos destacam a peça e trazem uma dose de estilo ao look.",https://mormaiishop.vteximg.com.br/arquivos/ids/2537585-450-450/88318_LARANJA_1.jpg?v=637689984243970000,https://www.mormaiishop.com.br/top-biquini-circle-de-amarrar-frontal-mormaii-88318/p,12-04-2022
Top biquini arco duplo mormaii,"R$ 118,90",Malha em poliéster com elastano,Feminino,Adulto,,Busto,"Top arco com aro em arco inteiro, sem bojo. essa peça possui alças com amarração no pescoço e costas, proporcionando conforto e estilo.",https://mormaiishop.vteximg.com.br/arquivos/ids/2537505-450-450/88325_PRETO_1.jpg?v=637689983319500000,https://www.mormaiishop.com.br/top-biquini-arco-duplo-mormaii-88325/p,12-04-2022
Calcinha biquini recorte mormaii,"R$ 102,90",Malha em poliéster com elastano,Feminino,Adulto,,Calcinha,Calcinha com recortes nas laterais e estampa silk na parte traseira com logo da marca aplicada em contrastes.,https://mormaiishop.vteximg.com.br/arquivos/ids/2536664-450-450/8845_AZUL_1.jpg?v=637689971927600000,https://www.mormaiishop.com.br/calcinha-biquini-recorte-mormaii-8845/p,12-04-2022
Skateboard pro mormaii zen,"R$ 445,90","Shape com 7 lâminas de madeiras selecionadas.truck de 129 mm em liga de alumínio e eixo em aço.roda 53 mm em tpu, dureza da roda 92 alixa antiderrapante 80 a brolamento abec-5 altura 80cm x 19,5 comprimento.",Unissex,Adulto,,Street,Shape com 7 lâminas de madeiras selecionadas.,https://mormaiishop.vteximg.com.br/arquivos/ids/2534066-450-450/459200_VERMELHO_1.jpg?v=637669247656830000,https://www.mormaiishop.com.br/skateboard-pro-mormaii-zen-459200/p,12-04-2022
Planner 2 em 1 capa dura wire-o mormaii linha joy 256 páginas,"R$ 99,90","Tamanho 15,5 x 22cm, capa dura com laminação soft touch, hot stamping, encadernação com wire-o, elástico para fechamento e guardas em papel color plus 180g/m².  Miolo: bolso duplo em papel pólen 90 g/m² ,  1 folha de adesivos coloridos e 256 páginas no papel pólen 80 g/m² .",Unissex,Adulto,,Planner,"O planner 2 em 1 tem 2 superdiferenciais: é permanente e tem 62 págs. para anotações. além disso, é uma ferramenta completa e funcional que ajuda na organização da rotina e no alcance de objetivos e metas: calendários 2022/2023, espaço para planejamento anual/mensal/semanal e financeiro, controle de hábitos e rotina saudável, checklists e tudo o mais que considerar importante ou desejar registrar!",https://mormaiishop.vteximg.com.br/arquivos/ids/2742228-450-450/212001011_ROSA-AZUL_1.jpg?v=637738088369270000,https://www.mormaiishop.com.br/planner-2-em-1-capa-dura-wire-o-mormaii-linha-joy-256-paginas-212001011/p,12-04-2022
Planner 2 em 1 capa dura wire-o mormaii linha lines 256 páginas,"R$ 99,90","Tamanho 15,5 x 22cm, capa dura com laminação soft touch, hot stamping, encadernação com wire-o, elástico para fechamento e guardas em papel color plus 180g/m².  Miolo: bolso duplo em papel pólen 90 g/m² ,  1 folha de adesivos coloridos e 256 páginas no papel pólen 80 g/m² .",Unissex,Adulto,,Planner,"O planner 2 em 1 tem 2 superdiferenciais: é permanente e tem 62 págs. para anotações. além disso, é uma ferramenta completa e funcional que ajuda na organização da rotina e no alcance de objetivos e metas: calendários 2022/2023, espaço para planejamento anual/mensal/semanal e financeiro, controle de hábitos e rotina saudável, checklists e tudo o mais que considerar importante ou desejar registrar!",https://mormaiishop.vteximg.com.br/arquivos/ids/2746246-450-450/212001071_ROSA_1.jpg?v=637763051791330000,https://www.mormaiishop.com.br/planner-2-em-1-capa-dura-wire-o-mormaii-linha-lines-256-paginas-212001071/p,12-04-2022
Sandalia mormaii ollie sand baby,"R$ 59,90","Pvc, coes nostalgicas e classicas, regulagem, segurança e facilidade de calce.",Masculino,Infantil,,Sandalia,"O estilo surf para o baby numa sandália, e com toda inspiração das listras, cores nostálgicas e clássicas. 1979 é o ano do início da mormaii, e aqui é o início dos primeiros passos com a marca! as tiras com dois velcros de regulagem oferecem segurança e facilidade de calce, e sua palmilha macia vai deixar os pequenos bem confortáveis e estilosos.",https://mormaiishop.vteximg.com.br/arquivos/ids/2531146-450-450/11899_BEGE-AZUL_1.jpg?v=637665783595470000,https://www.mormaiishop.com.br/sandalia-mormaii-ollie-sand-baby-11899/p,12-04-2022
Óculos de sol mormaii m0091,"R$ 449,00",Altura lente 50 mm | largura lente 57 mm |  frente 146 mm | haste 135 mm | ponte 17 mm | material da lente: poliamida material da armação: metal,Unissex,Adulto,Oculos-de-sol,,"O clássico aviador ganha sua versão mormaii. com estrutura em metal, o modelo m0091 é atemporal e cheio de estilo. as plaquetas nasais ajustáveis garantem ainda mais conforto e um ótimo caimento da peça ao rosto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532817-450-450/M0091A0201_PRETO_1.jpg?v=637669226872970000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0091-m0091a0201/p,12-04-2022
Óculos de sol mormaii m0091,"R$ 449,00",Altura lente 50 mm |  largura lente  57 mm |  frente 146 mm | haste 135 mm | ponte 17 mm material material da lente: policarbonato material da armação: metal,Unissex,Adulto,Oculos-de-sol,,"O clássico aviador ganha sua versão mormaii. com estrutura em metal, o modelo m0091 é atemporal e cheio de estilo. as plaquetas nasais ajustáveis garantem ainda mais conforto e um ótimo caimento da peça ao rosto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532819-450-450/M0091D4009_CHUMBO_1.jpg?v=637669226919600000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0091-m0091d4009/p,12-04-2022
Óculos de sol mormaii m0091,"R$ 449,00",Altura lente 50 mm | largura lente 57 mm | frente146 mm | haste 135 mm |  ponte 17 mm |  material material da lente: policarbonato material da armação: metal,Unissex,Adulto,Oculos-de-sol,,"O clássico aviador ganha sua versão mormaii. com estrutura em metal, o modelo m0091 é atemporal e cheio de estilo. as plaquetas nasais ajustáveis garantem ainda mais conforto e um ótimo caimento da peça ao rosto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532821-450-450/M0091E1190_DOURADO_1.jpg?v=637669226969700000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0091-m0091e1190/p,12-04-2022
Óculos de sol mormaii m0092,"R$ 449,00",Altura lente 54 mm |  largura lente 48 mm | frente 140 mm | haste 133 mm | ponte 20 mm | material lente: policarbonato material armação: metal,Unissex,Adulto,Oculos-de-sol,,O m0092 traz toda a versatilidade da frente redonda em armação de metal com ponteiras em acetato e plaquetas nasais ajustáveis. o modelo inspirado na moda rock`n roll dos anos 90 tem lentes solares com 100% de proteção uva e uvb.,https://mormaiishop.vteximg.com.br/arquivos/ids/2532823-450-450/M0092A1401_PRETO_1.jpg?v=637669227070930000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0092-m0092a1401/p,12-04-2022
Óculos de sol mormaii m0092,"R$ 449,00",Altura lente 54 mm | largura lente 48 mm | frente 140 mm | haste 133 mm | ponte 20 mm | material lente: policarbonato material armação; metal,Unissex,Adulto,Oculos-de-sol,,O m0092 traz toda a versatilidade da frente redonda em armação de metal com ponteiras em acetato e plaquetas nasais ajustáveis. o modelo inspirado na moda rock`n roll dos anos 90 tem lentes solares com 100% de proteção uva e uvb.,https://mormaiishop.vteximg.com.br/arquivos/ids/2532825-450-450/M0092D4071_CHUMBO_1.jpg?v=637669227195800000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0092-m0092d4071/p,12-04-2022
Óculos de sol mormaii m0092,"R$ 449,00",Altura lente 54 mm | largura lente 48 mm |  frente 140 mm | haste 133 mm | ponte 20 mm | material lente: policarbonato material armação: metal,Unissex,Adulto,Oculos-de-sol,,O m0092 traz toda a versatilidade da frente redonda em armação de metal com ponteiras em acetato e plaquetas nasais ajustáveis. o modelo inspirado na moda rock`n roll dos anos 90 tem lentes solares com 100% de proteção uva e uvb.,https://mormaiishop.vteximg.com.br/arquivos/ids/2532827-450-450/M0092E1134_DOURADO_1.jpg?v=637669227318900000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0092-m0092e1134/p,12-04-2022
Óculos de sol mormaii m0106,"R$ 449,00",Altura lente 49 mm | largura lente 53 mm | frente 140 mm |  haste 132 mm |  ponte 21 mm | material lente: policarbonato material armação: metal,Unissex,Adulto,Oculos-de-sol,,"Um modelo leve, com design clean, que traz detalhes em recortes geométricos na parte superior frontal. disponível em três combinações de cores, a peça é ajustável e o material é de alta qualidade. o modelo m0106 unissex é um lindo acessório fashion para compor qualquer look.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532829-450-450/M0106A1401_PRETO_1.jpg?v=637669227414770000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0106-m0106a1401/p,12-04-2022
Óculos de sol mormaii m0106,"R$ 449,00",Altura lente 49 mm | largura lente 53 mm | frente 140 mm | haste 132 mm |  ponte 21 mm | material lente: poliamida armação: metal,Unissex,Adulto,Oculos-de-sol,,"Um modelo leve, com design clean, que traz detalhes em recortes geométricos na parte superior frontal. disponível em três combinações de cores, a peça é ajustável e o material é de alta qualidade. o modelo m0106 unissex é um lindo acessório fashion para compor qualquer look.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532833-450-450/M0106E3626_DOURADO_1.jpg?v=637669227517030000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0106-m0106e3626/p,12-04-2022
Óculos de sol mormaii m0107,"R$ 449,00",Altura lente 50 mm | largura lente 56 mm | frente 141 mm | haste 132 mm | ponte 19 mm | material lente: poliamida armação: metal,Feminino,Adulto,Oculos-de-sol,,"A peça m0107 traz a referência da identidade old school com um design moderno. destacados pela armação em metal e hastes delicadas, os óculos de sol com lentes quadradas são a garantia de um visual chic. o modelo feminino é leve, adaptável a vários formatos de rostos e possui uma cartela de cores de lentes em azul, marrom e preto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532835-450-450/M0107E1071_DOURADO_1.jpg?v=637669227566370000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0107-m0107e1071/p,12-04-2022
Óculos de sol mormaii m0107,"R$ 449,00",Altura lente 50 mm | largura lente 56 mm | frente 141 mm |  haste 132 mm | ponte 19 mm | material lente: poliamida armação: metal,Feminino,Adulto,Oculos-de-sol,,"A peça m0107 traz a referência da identidade old school com um design moderno. destacados pela armação em metal e hastes delicadas, os óculos de sol com lentes quadradas são a garantia de um visual chic. o modelo feminino é leve, adaptável a vários formatos de rostos e possui uma cartela de cores de lentes em azul, marrom e preto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532837-450-450/M0107E1134_DOURADO_1.jpg?v=637669227612530000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0107-m0107e1134/p,12-04-2022
Óculos de sol mormaii m0107,"R$ 449,00",Altura lente 50 mm | largura lente 56 mm | frente 141 mm | haste 132 mm | ponte 19 mm | material lente: poliamida armação: metal,Feminino,Adulto,Oculos-de-sol,,"A peça m0107 traz a referência da identidade old school com um design moderno. destacados pela armação em metal e hastes delicadas, os óculos de sol com lentes quadradas são a garantia de um visual chic. o modelo feminino é leve, adaptável a vários formatos de rostos e possui uma cartela de cores de lentes em azul, marrom e preto.",https://mormaiishop.vteximg.com.br/arquivos/ids/2532839-450-450/M0107G0886_PRATA_1.jpg?v=637669227658270000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-m0107-m0107g0886/p,12-04-2022
