name,price,composition,material-sum,age,category,sub_category,description,img_url,url,scrapped-at
Cueca Lupo Boxer - Micromodal Sem Costura,"51,90",3% elastano 33% poliamida 64% modal,1.0,Adulto,Cuecas,Boxer,"Seamless Dry: Desenvolvido com a mais moderna tecnologia sem costura, diminui os pontos de fricção, possue ventilação estratégica, proporcionando alto conforto térmico. Antimicrobial: Tratamento de higienização que impede a proliferação de microrganismos e bactérias causadores de odores, Composição: 64% Modal, 33% Poliamida, 3% Elastano",https://lupo.vteximg.com.br/arquivos/ids/165387-500-500/00661-001-1110.jpg?v=636325145002170000,https://www.lupo.com.br/cueca-lupo-am-boxer-m-modal-00661-001/p,12-04-2022
Cueca Lupo Sunga - Algodão Com Elastano,"34,90",10% poliéster 5% elastano 85% algodão 95% algodão,1.95,Adulto,Cuecas,Sunga,COMPOSIÇÃO: Cor 8000: Algodão 85% Poliéster 10% Elastano 5% Demais Cores: Algodão 95% Elastano 5%,https://lupo.vteximg.com.br/arquivos/ids/164098-500-500/00480-002-8730.jpg?v=636325108858400000,https://www.lupo.com.br/cueca-lupo-am-sunga-00480-002/p,12-04-2022
Cueca Lupo Boxer,"36,90",5% elastano 95% algodão,1.0,Adulto,Cuecas,Boxer,"Composição: 95% Algodão, 5% Elastano",https://lupo.vteximg.com.br/arquivos/ids/191113-500-500/00784-021-3370.jpg?v=637467737355270000,https://www.lupo.com.br/cueca-lupo-boxer-00784-021/p,12-04-2022
Cueca Lupo Boxer,"36,90",5% elastano 95% algodão,1.0,Adulto,Cuecas,Boxer,"Composição: 95% Algodão, 5% Elastano",https://lupo.vteximg.com.br/arquivos/ids/191067-500-500/00765-003-2390.jpg?v=637467736878230000,https://www.lupo.com.br/cueca-lupo-boxer-00765-003/p,12-04-2022
Cueca Lupo Boxer - Algodão com Elastano - Kit com 10 Unidades,"310,90",10% poliéster 47% poliéster 48% algodão 5% elastano 85% algodão 95% algodão,2.9,Adulto,Cuecas,Boxer,"Uma cueca boxer de algodão consegue trazer mais conforto para o dia a dia de qualquer homem. Poucos modelos como esse da Lupo conseguem oferecer tantos benefícios para quem tem uma rotina agitada e está em vários lugares ao longo do dia. Agora imagine poder levar para casa um kit com 10 peças para renovar o seu guarda roupa e a sua coleção de roupas íntimas. Esse kit de cuecas agrada aos amantes da cueca de boxer, pois contempla diferentes cores para momentos únicos com destaque para tonalidades de branco, preto, cinza, azul e preto. Surpreenda se com esse kit que mescla tonalidades para cada momento da sua semana Composição: Cor 8001: Algodão 85%, Poliéster 10%, Elastano 5% Cor 2390: Algodão 48%, Poliéster 47%, Elastano 5% Demais cores: Algodão 95% Elastano 5%.",https://lupo.vteximg.com.br/arquivos/ids/187241-500-500/00523-900.png?v=636995914248400000,https://www.lupo.com.br/cueca-lupo-00523-936-boxer-algodao-com-elastano-kit-com-10-unidades/p,12-04-2022
Cueca Lupo Boxer,"35,90",3% poliéster 4% elastano 7% poliéster 89% poliamida 93% poliamida,1.96,Infantil,Cuecas,Boxer,Composição: Cores 5650 E 8230: Poliamida 93% Elastano 4% Poliéster 3% Demais Cores: Poliamida 89% Poliéster 7% Elastano 4%,https://lupo.vteximg.com.br/arquivos/ids/186209-500-500/00137-010-2560.jpg?v=636985591717400000,https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p,12-04-2022
Cueca Lupo Boxer Microfibra,"30,90",3% poliéster 4% elastano 93% poliamida,1.0,Infantil,Cuecas,Boxer,Composição: 3% Poliéster 93% Poliamida 4% Elastano,https://lupo.vteximg.com.br/arquivos/ids/186194-500-500/00132-002-1120.jpg?v=636985591587600000,https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00132-002/p,12-04-2022
Meia Lupo Sport - Kit com 10 Pares,"137,90",1% outra 34% poliamida 65% algodão,1.0,Adulto,Meias,Esportivas,"Calcanhar Verdadeiro Atoalhada Composição: 65% Algodão, 34% Poliamida, 1% Outra Fibra",https://lupo.vteximg.com.br/arquivos/ids/185751-500-500/03245-9100900.png?v=636924862521030000,https://www.lupo.com.br/meia--lupo-kit-com-10-unidades-03245-910/p,12-04-2022
Meia Lupo Sport Sapatilha,"15,90",3% outra 30% poliamida 67% algodão,1.0,Adulto,Meias,Esportivas,"Composição: 3% Outra Fibra, 30% Poliamida, 67% Algodão",https://lupo.vteximg.com.br/arquivos/ids/182958-500-500/03270-062-1230.jpg?v=636868938353330000,https://www.lupo.com.br/meia-lupo-au-sport-sap-03270-062/p,12-04-2022
Meia Lupo Sport,"18,90",20% poliamida 3% outra 77% algodão,1.0,Adulto,Meias,Esportivas,Composição: 77% Algodão 20% Poliamida 3% Outra Fibra,https://lupo.vteximg.com.br/arquivos/ids/182941-500-500/03290-114-1120.jpg?v=636868938150770000,https://www.lupo.com.br/meia-lupo-am-sport-03290-114/p,12-04-2022
Meia Lupo Sapatilha,"12,90",3% outra 31% poliamida 66% algodão,1.0,Adulto,Meias,Soquetes,Composição: 66% Algodão 31% Poliamida 3% Outra Fibra,https://lupo.vteximg.com.br/arquivos/ids/185898-500-500/04270-002-1110.jpg?v=636985589221430000,https://www.lupo.com.br/meia-lupo-af-sapatilha-04270-002/p,12-04-2022
Meia - Calça Loba Opaca Fio 80,"36,90",6% elastano 94% poliamida,1.0,Adulto,Meias-Calças,Fashion,"Composição: 94% Poliamida , 6% Elastano",https://lupo.vteximg.com.br/arquivos/ids/181034-500-500/05858-001.jpg?v=636709670077400000,https://www.lupo.com.br/meia-calca-loba-opaca-fio-80-05858-001/p,12-04-2022
Sutia Loba Angel,"51,90",6% elastano 94% poliamida,1.0,Adulto,Lingerie,Sutiã Básico,sutia loba af angel sem costura antimicrobial composição: poliamida 94% elastano 6%,https://lupo.vteximg.com.br/arquivos/ids/167392-500-500/41260-003-9990.jpg?v=636325180476130000,https://www.lupo.com.br/sutia-loba-af-angel-41260-003/p,12-04-2022
Sutia Loba Power,"84,90",7% elastano 93% poliamida,1.0,Adulto,Lingerie,Sutiã Básico,"Composição: 93%, Poliamida, 7%, Elastano",https://lupo.vteximg.com.br/arquivos/ids/166882-500-500/41028-001-9990.jpg?v=636325167574430000,https://www.lupo.com.br/sutia-loba-power-41028-001/p,12-04-2022
Calcinha Loba Calecon,"46,90",2% algodão 5% elastano 93% poliamida,1.0,Adulto,Lingerie,Calcinhas Caleçon,"Poucas peças íntimas femininas surpreendem tanto quanto a calcinha loba . Ao contrário das demais calcinhas femininas , essa peça se destaca pela forma como se adapta ao corpo, sem deixar marcas ou causar incômodos em contato direto com a pele. A calcinha lupo loba surge como uma alternativa para os dias que você procura por mais conforto sem sacrificar o look. Composição: 93% Poliamida, 5% Elastano, 2% Algodão",https://lupo.vteximg.com.br/arquivos/ids/166594-500-500/40900-001-9990.jpg?v=636325161007530000,https://www.lupo.com.br/calcinha-loba-af-calecon-40900-001/p,12-04-2022
Calcinha Loba Fio Dental,"40,90",2% algodão 5% elastano 93% poliamida,1.0,Adulto,Lingerie,Calcinhas Fio Dental,"Composição: 93% Poliamida, 5% Elastano, 2% Algodão",https://lupo.vteximg.com.br/arquivos/ids/185240-500-500/40600-001-B.jpg?v=636893080227170000,https://www.lupo.com.br/calcinha-loba-af-f-dental-bas-40600-001/p,12-04-2022
Calcinha Loba Tanga Basica,"41,90",2% algodão 5% elastano 93% poliamida,1.0,Adulto,Lingerie,Calcinhas Tanga,"Uma calcinha loba desperta o instinto mais selvagem e independente de uma mulher ao mesmo tempo em que garante o conforto e a segurança que ela precisa para o curtir o dia a dia. Esse modelo desenvolvido pela Lupo oferece isso e muito mais. Toda confeccionada em algodão, elastano e poliamida, essa calcinha feminina é macia, elástica e resistente. Está disponível em diversas cores e tamanhos para combinar com o seu estilo. Composição: 93% Poliamida, 5% Elastano, 2% Algodão",https://lupo.vteximg.com.br/arquivos/ids/166460-500-500/40500-001-5730.jpg?v=636325159118230000,https://www.lupo.com.br/calcinha-loba-af-tanga-basica-40500-001/p,12-04-2022
Calcinha Loba  Tanga Cotton,"35,90",8% elastano 92% algodao,1.0,Adulto,Lingerie,Calcinhas Tanga,"Composição: 8% Elastano, 92% Algodao",https://lupo.vteximg.com.br/arquivos/ids/175516-500-500/97544XX.jpg?v=636459305626000000,https://www.lupo.com.br/calcinha-loba-af-tanga-cotton-40354-001/p,12-04-2022
Calcinha Loba Biquini  - Cotton,"35,90",8% elastano 92% algodão,1.0,Adulto,Lingerie,Calcinhas Biquini,"Dê um toque de delicadeza e conforto para o seu dia a dia com a calcinha loba. Feita para em algodão e elastano, ela se ajusta perfeitamente ao corpo, sem marcar a pele ou a roupa que ficará por cima. Outro motivo para investir nessa calcinha biquíni é o caimento perfeito que ela tem no corpo, graças à presença do elastano e do algodão. E por falar nesses dois tecidos, eles foram a peça ideal para qualquer momento. Composição: 8% Elastano, 92% Algodão",https://lupo.vteximg.com.br/arquivos/ids/175515-500-500/97511XX.jpg?v=636459304238700000,https://www.lupo.com.br/calcinha-loba-af-biquini-cotton-40353-001/p,12-04-2022
Calcinha Loba Basica -  Cotton,"38,90",8% elastano 92% algodão,1.0,Adulto,Lingerie,Calcinhas Básica,"Composição: 8% Elastano, 92% Algodão",https://lupo.vteximg.com.br/arquivos/ids/175514-500-500/97487XX.jpg?v=636459302689970000,https://www.lupo.com.br/calcinha-loba-af-bas-cotton-40352-001/p,12-04-2022
Calcinha Loba Classica Sem Costura,"48,90",5% e,0.05,Adulto,Lingerie,Calcinhas Biquini,"Com toques de algodão, 93% de poliamida e 5% de elastano, a Lupo criou uma calcinha sem costura que, além de ser sexy e clássica, diminui os pontos de fricção em contato com a pele, tornando esta peça muito confortável de ser usada. Lindo e delicado, este produto ganhará, com certeza, um lugar especial no seu guarda roupa. A calcinha sem costura Lupo conta também com um sistema de ventilação estratégica, permitindo a respiração da pele em zonas críticas de suor. Além disso, é feita com tecnologia antimicrobial, ou seja, impede a proliferação de microrganismos que causam maus odores. Qual cor é a sua preferida Confira as nossas opções",https://lupo.vteximg.com.br/arquivos/ids/175512-500-500/97218XX.jpg?v=636459298773830000,https://www.lupo.com.br/calcinha-loba-af-classica-40310-001/p,12-04-2022
Meia Calça Loba Opaca Fio 40,"29,90",,0.0,Adulto,Meias-Calças,Opaca,"A meia calça Loba Opaca fio 40 é ideal para todas as ocasiões. Seja à mostra, por baixo de uma saia ou de baixo de outra peça, a meia calça Lupo te mantém sempre elegante e aquecida. Sua composição possui elastano que dá maior flexibilidade e permite que você aproveite todos os momentos com maior liberdade.",https://lupo.vteximg.com.br/arquivos/ids/172524-500-500/05830-001-2300.jpg?v=636325296255700000,https://www.lupo.com.br/meia-calca-loba-af-opaca-05830-001/p,12-04-2022
Meia Calça Loba Classica Fina Fio 15,"15,90",,0.0,Adulto,Meias-Calças,Fina,Composição: 85% Poliamida Fio 15,https://lupo.vteximg.com.br/arquivos/ids/181776-500-500/05760-001.jpg?v=636729432030200000,https://www.lupo.com.br/meia-calca-loba-af-clas-fina-05760-001/p,12-04-2022
Meia Sapatilha Lupo Adulto,"21,90",29% poliamida 3% outra 68% algodao,1.0,Adulto,Meias,Soquetes,"Composição: 3% Outra Fibra , 29% Poliamida , 68% Algodao",https://lupo.vteximg.com.br/arquivos/ids/171073-500-500/03282-001-1120.jpg?v=636325268168600000,https://www.lupo.com.br/meia-lupo-am-sapatilha-03282-001/p,12-04-2022
Meia Lupo Sport Kit3 - Kit com 3 Pares,"43,90",3% outra 30% poliamida 67% algodão,1.0,Adulto,Meias,Esportivas,"Composição: 67% ALGODÃO, 30% Poliamida, 3% Outra Fibra",https://lupo.vteximg.com.br/arquivos/ids/170901-500-500/03270-089-0906.jpg?v=636325265260930000,https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p,12-04-2022
